code,title,office,program,economic_class_primary,item_url
34.30.03.37,העברות התייעלות אנרגטית ואנרגיה נקיה - פרויקטים במשרדי ממשלה,משרד האנרגיה,יחידות מקצועיות,קניות,https://next.obudget.org/i/c6b5d5d49a75
34.30.03.44,תמיכה ברשויות מקומיות – אנרגיה מקיימת,משרד האנרגיה,יחידות מקצועיות,העברות,https://next.obudget.org/i/4ca0b59519b4
34.30.03.46,תמיכה ברשויות מקומיות – אנרגיה מקיימת (החלטת ממשלה 550),משרד האנרגיה,יחידות מקצועיות,העברות,https://next.obudget.org/i/9f5e4158db87
34.30.03.52,פרויקטים בתחום המימן,משרד האנרגיה,יחידות מקצועיות,העברות,https://next.obudget.org/i/df535c74f408
34.30.03.54,תמיכה באנרגיה מתחדשת (הקרן לאזרחי ישראל),משרד האנרגיה,יחידות מקצועיות,העברות,https://next.obudget.org/i/10297b8e5e5f
38.02.02.11,עידוד השקעות בתחליפי נפט לתחבורה,תמיכות בענפי המשק,"מענקים לשלבי מו""פ",העברות,https://next.obudget.org/i/0d849be98179
38.02.02.13,חממה לאנרגיות מתחדשות באח 3954,תמיכות בענפי המשק,"מענקים לשלבי מו""פ",העברות,https://next.obudget.org/i/9807b693561c
38.02.02.17,תחליפי נפט לתחבורה - קרן לאומית,תמיכות בענפי המשק,"מענקים לשלבי מו""פ",העברות,https://next.obudget.org/i/4836d86ad34d
38.10.02.09,מכון לאנרגיה מתחדשת,תמיכות בענפי המשק,תכנית הדרום,העברות,https://next.obudget.org/i/96d9f0dc2ccc
38.19.03.01,מסלול להפחתת פליטות גזי חממה,תמיכות בענפי המשק,מסלול להפחתת פליטות,העברות,https://next.obudget.org/i/e5097a5085d9
38.19.03.02,מסלול חיבור מפעלים לגז טבעי,תמיכות בענפי המשק,מסלול להפחתת פליטות,העברות,https://next.obudget.org/i/3b54b483be48
38.30.02.04,מרכז לאנרגיה מתחדשת,כלכלה ותעשייה,מענקי מחקר ופיתוח,העברות,https://next.obudget.org/i/b2351eb3d641
38.30.02.08,עידוד השקעות הון סיכון בתחליפי נפט לתחבורה,תמיכות בענפי המשק,מענקי מחק ופיתוח,העברות,https://next.obudget.org/i/2745206bb320
38.30.02.09,תחליפי נפט לתחבורה- קרן לאומית,תמיכות בענפי המשק,מענקי מחק ופיתוח,העברות,https://next.obudget.org/i/6d546bb90bb3
38.30.02.10,תחליפי נפט לתחבורה- קרן בין לאומית,תמיכות בענפי המשק,"מענקי מו""פ לשלבים",העברות,https://next.obudget.org/i/b7d05a9dac47
38.40.01.22,מסלול להתייעלות אנרגטית,כלכלה ותעשייה,קידום השקעות ועידוד,העברות,https://next.obudget.org/i/a8b721dfa074
51.07.01.27,התייעלות אנרגטית במשרדי ממשלה,דיור ממשלתי,בינוי קריות ומשרדי,השקעה,https://next.obudget.org/i/4a16481db599
52.40.01.13,אלה ומעשיהו - קוגנרציה (התייעלות אנרגטית),המשטרה ובתי הסוהר,פיתוח,השקעה,https://next.obudget.org/i/675eef40be2c
70.03.01.10,התייעלות אנרגטית בשכונות שיקום,שיכון,מגזר כללי,השקעה,https://next.obudget.org/i/4d3e9265c2b3
79.50.01.48,ר' - המשך פרוייקט החשמול,תחבורה,רכבות כבדות,השקעה,https://next.obudget.org/i/845ba516ef7c
