code,title,economic_class,reason
04.01.90.03,"השתתפות משרד משנה לרוה""מ במשרד המדע התרבות וספורט - מו""פ בקו עימות",העברות  פנים תקציביות,"Internal budgetary transfers, not directly subject"
04.01.90.04,"השתתפות משרד רוה""מ במשרד הרווחה - מצב החירום בצפון",העברות  פנים תקציביות,"Internal budgetary transfers, not directly subject"
04.01.90.05,השתתפות במשרד הביטחון למימון תכנית רענון לתושבי הצפון,העברות  פנים תקציביות,"Internal budgetary transfers, not directly subject"
04.01.92.02,השת' אפוטרופוס,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.04.01.01,רזרבה לפעולות,קניות,"Reserve, related economic class"
04.04.01.03,רזרבה,קניות,"Reserve, related economic class"
04.04.01.04,רזרבה,שכר,"Reserve, related economic class"
04.04.01.05,"רזרבה לעב""צ",שכר,"Reserve, related economic class"
04.04.01.07,רזרבה לתקני רכב,שכר,"Reserve, related economic class"
04.04.01.08,רזרבה מיועדת,שכר,"Reserve, related economic class"
04.04.01.09,רזרבה מיועדת,קניות,"Reserve, related economic class"
04.04.01.10,רזרבה לכח אדם,שכר,"Reserve, related economic class"
04.04.01.11,רזרבה מיועדת,שכר,"Reserve, related economic class"
04.04.01.12,רזרבה לרבנות ראשית,קניות,"Reserve, related economic class"
04.04.01.13,רזרבה מיועדת,קניות,"Reserve, related economic class"
04.04.01.14,רזרבה להוצאות רכב,שכר,"Reserve, related economic class"
04.04.01.15,רזרבה לשעות נוספות,שכר,"Reserve, related economic class"
04.04.01.30,רזרבה להתייקרויות שכר,שכר,"Reserve, related economic class"
04.04.01.31,רזרבה לעמידה ביעדי גירעון - נתיב,קניות,"Reserve, related economic class"
04.04.01.32,רזרבה לעמידה ביעדי הגרעון - ממשל,קניות,"Reserve, related economic class"
04.04.01.33,רזרבה לעמידה ביעד ההוצאה,קניות,"Reserve, related economic class"
04.04.01.34,"רזרבת חו""ל",שכר,"Reserve, related economic class"
04.04.01.80,רזרבה מיועדת,קניות,"Reserve, related economic class"
04.04.01.81,הכנסות שונות,הכנסות מיועדות,"Earmarked revenue, related economic class"
04.04.01.90,רזרבה להוצאות ביטחון 2006,רזרבות,"Reserve, related economic class"
04.04.01.95,רזרבה להתייקרויות כללית,רזרבות,"Reserve, related economic class"
04.07.01.02,רזרבה כללית להתיקרויות בשכר,שכר,"Reserve, related economic class"
04.07.01.03,רזרבה כללית להתיקרויות בפעולות,קניות,"Reserve, related economic class"
04.07.01.04,רזרבה לעמידה ביעדי הגירעון,קניות,"Reserve, related economic class"
04.07.01.08,"רזרבה חו""ל",שכר,"Reserve, related economic class"
04.07.01.09,רזרבה התייקרויות-תשלומי העברה,רזרבות,"Reserve, related economic class"
04.07.01.10,רזרבה להתייקרויות העברות,העברות,"Reserve, related economic class"
04.07.01.11,רזרבה לעמידה ביעד ההוצאה,קניות,"Reserve, related economic class"
04.07.01.12,רזרבה להוצאות ביטחון 2006,רזרבות,"Reserve, related economic class"
04.07.01.95,רזרבה להתייקרויות כללית,רזרבות,"Reserve, related economic class"
04.70.01.01,רזרבה להתיקרויות שכר,שכר,"Reserve, related economic class"
04.70.01.02,רזרבה ליעדים פיסקליים,קניות,"Reserve, related economic class"
04.70.01.03,רזרבה להתיקרויות העברות,העברות,"Reserve, related economic class"
04.70.01.10,רזרבה לפעולות בסעיף 04,קניות,"Reserve, related economic class"
04.70.01.11,איוש שיא כח אדם ללא ביצוע,שכר,"Personnel cap, related economic class"
04.70.01.13,"איוש שיא כוח אדם בחו""ל ללא ביצוע",שכר,"Personnel cap, related economic class"
04.99.99.99,חשבון מעבר,חשבונות מעבר,"Transfer account, related economic class"
05.01.01.01,שיא כח אדם,שכר,"Personnel cap, related economic class"
05.01.01.19,"השתתפות מטה חשכ""ל בביקורת",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.26,העסקת מתמחים,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.30,"השתתפות משרד התמ""ת",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.34,השתתפות משרד התיירות,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.67,"השתתפות מ""ה",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.68,"השתתפות מ""ה",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.70,"רזרבת מנכ""ל",קניות,"Reserve, related economic class"
05.01.01.76,השתתפות רשות המיסים,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.81,הכנסות מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, related economic class"
05.01.01.82,השתתפות משרד החינוך,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.83,השתתפות במשרד הפנים,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.84,השתתפות משרדי ממשלה,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.85,"שיא כח אדם - לשכת סמנכ""ל",שכר,"Personnel cap, related economic class"
05.01.01.86,רזרבת מנכל לכא,שכר,"Reserve, related economic class"
05.01.01.92,"השתתפות מ""ה",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
05.01.01.95,רזרבה להתיקרויות כללית,רזרבות,"Reserve, related economic class"
05.01.01.99,רזרבה,קניות,"Reserve, related economic class"
05.01.02.05,הכנסות מעובדים,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.01.02.09,הכנסה מעובדים לפעולות רווחה,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.01.02.13,השתתפות הלשכה לשקום נכים,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.14,השתתפות חטיבה להתיישבות,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.15,השתתפות נציבות מס הכנסה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.16,הכנסה מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.01.02.18,רזרבה להוצאות רכב,שכר,"Reserve, distorts budget total."
05.01.02.19,אחזקת רכב ממשלתי,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.23,הכנסות מגורמי חוץ (פאלפון),הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.01.02.24,שכר דירה מוזיאון מיסים,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.28,שכר דירה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.31,הכנסות והשתתפות עובדים בשכר לימוד,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.01.02.32,השתתפות במרכז ההסברה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.34,השתתפות מנהל הרכב בתפעול,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.36,השתתפות לשכת הפירסום בתפעול,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.01.02.38,"השתתפות מסעיף השקעות שונות - תפעול מרכבה ו""להבה""",העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.44,השתתפות באבטחת שר האוצר,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.46,השתתפות משרדי הממשלה בהדרכה במשרד האוצר,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.48,השתתפות משרדי הממשלה במכרז אבטחה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.49,השתתפות במשרד הבטחון -טלפוניה מסווגת,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.50,הכנסות מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.01.02.51,השתתפות משרד הקליטה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.52,השתתפות משרד הרווחה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.55,השתתפות מנהל הגמלאות בתפעול ואחזקה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.62,"השתתפות שע""מ בתפעול",העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.63,"השתתפות שע""מ בתפעול",העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.64,השתתפות המזנון באחזקה,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.01.02.65,השתתפות במשרד ראש הממשלה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.66,"אחזקת בנין רוה""מ",העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.80,"השת.בנש""מ",העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.82,רזרבה להתשתתפויות,קניות,"Reserve, distorts budget total."
05.01.02.83,רזרבה למול השתתפויות,קניות,"Reserve, distorts budget total."
05.01.02.84,רזרבה למול השתתפויות,קניות,"Reserve, distorts budget total."
05.01.02.92,הכנסות מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.01.02.96,רזרבה לשכר דירה,קניות,"Reserve, distorts budget total."
05.01.02.97,השתתפות באיכות הסביבה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
05.01.02.99,רזרבה,קניות,"Reserve, distorts budget total."
05.08.01.01,רזרבה לפעולות משרד האוצר,קניות,"Reserve, distorts budget total."
05.08.01.02,רזרבה,שכר,"Reserve, distorts budget total."
05.08.01.03,רזרבה,קניות,"Reserve, distorts budget total."
05.08.01.04,רזרבה לכח אדם,שכר,"Reserve for personnel, distorts budget total."
05.08.01.05,רזרבה לעבודה בלתי צמיתה,שכר,"Reserve for temporary work, distorts budget total."
05.08.01.06,רזרבה לשעות נוספות,שכר,"Reserve for overtime, distorts budget total."
05.08.01.07,רזרבה לתקני רכב,שכר,"Reserve for vehicle standards, distorts budget total."
05.08.01.08,רזרבה,שכר,"Reserve, distorts budget total."
05.08.01.09,רזרבה לכוננויות,שכר,"Reserve for on-call, distorts budget total."
05.08.01.10,רזרבה לעמידה ביעדי הגירעון,קניות,"Reserve, distorts budget total."
05.08.01.11,רזרבה לעמידה ביעד ההוצאה,קניות,"Reserve, distorts budget total."
05.08.01.12,רזרבה להוצאות ביטחון 2006,רזרבות,"Reserve, distorts budget total."
05.08.01.13,רזרבה להתייקרויות בשכר,שכר,"Reserve, distorts budget total."
05.08.01.14,יעודה לכח אדם,שכר,"Personnel allocation, distorts budget total."
05.08.01.95,רזרבה להתייקרויות כללית,רזרבות,"Reserve, distorts budget total."
05.08.01.96,הכנסות שונות,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
05.53.01.01,רזרבה להתיקרויות שכר,שכר,"Reserve, distorts budget total."
05.53.01.02,רזרבה ליעדים פיסקליים,קניות,"Reserve, distorts budget total."
05.53.01.03,רזרבה לעמידה ביעד ההוצאה,העברות,"Reserve, distorts budget total."
05.99.99.99,חשבון מעבר,חשבונות מעבר,"Transfer account, distorts budget total."
26.01.01.01,שיא כח אדם,שכר,"Personnel cap, distorts budget total."
26.01.01.08,אחזקת רכב ממשלתי,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.22,השתתפות במערכות בוחן ותהילה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.24,"השתתפות בלמ""ס",העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.27,הכנסות מהאיחוד האירופי,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
26.01.01.28,"השתתפות משרד התמ""ת במכרז לעבודת ייעוץ בתחום טכנולוגית סביבה",העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.31,השתתפות משרד הקליטה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.32,הכנסות מהאפוטרופוס להעסקת עולים,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.35,השתתפות בתקציב משרד המשפטים לצורך העסקת מתמחים,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.37,השתתפות משטרה,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.41,"השתתפות במשרד החקלאות עבור מינהלת פל""ח",העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.42,השתתפות משרד הפנים,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.47,הכנסות - מכירת חומר מקצועי ומכרזים,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
26.01.01.50,השתתפות במשרד הביטחון,העברות  פנים תקציביות,"Internal transfer, distorts budget total."
26.01.01.52,הכנסות מעירית ירושלים,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
26.01.01.53,הכנסות מחברת הביטוח ענבל,הכנסות מיועדות,"Earmarked revenue, distorts budget total."
26.01.01.62,"רזרבה להתייקרויות - מט""ח",רזרבות,Economic class is 'reserves'.
26.01.01.72,הכנסות מפעולות הדרכה,הכנסות מיועדות,Economic class is 'earmarked revenue'.
26.01.01.81,השתתפות בממשל זמין,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.01.01.85,הוצאות מיועדות,קניות,Title indicates earmarked funds.
26.01.01.92,הוצאה מיועדת,העברות  פנים תקציביות,Economic class is 'internal transfers' and title 'earmarked'.
26.01.01.93,"השתתפות של השב""כ - החזר הוצאות אבטחת שר",העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.01.01.96,השתתפות במשרד ראש הממשלה,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.01.01.99,שיא כח אדם - רזרבה,שכר,Economic class is 'personnel cap'.
26.01.02.11,רזרבה - פיתוח מיחשוב,קניות,Title indicates 'reserve'.
26.01.02.19,הוצאה למכרז קניית שרותים חיצוניים,הכנסות מיועדות,Economic class is 'earmarked revenue'.
26.01.02.20,השתתפות במשרד האוצר,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.01.02.95,רזרבה להתייקרויות כללית,רזרבות,Economic class is 'reserves'.
26.01.04.04,דיור - שכר דירה,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.01.04.95,רזרבה להתייקרויות כללית,רזרבות,Economic class is 'reserves'.
26.02.01.01,רזרבה להתיקרויות בשכר,שכר,Economic class is 'salary' and title 'reserve'.
26.02.01.02,רזרבה להתיקרויות בקניות,קניות,Title indicates 'reserve'.
26.02.01.06,רזרבה להתיקרויות תשלומי העברה,העברות,Title indicates 'reserve' and economic class 'transfers'.
26.02.01.08,רזרבה להתייקרויות - תמיכות במפעלי תעשייה,העברות,Title indicates 'reserve'.
26.02.01.10,רזרבה להתייקרויות - שינוע פסולת,העברות,Title indicates 'reserve'.
26.02.02.01,"רזרבה לכ""א ולפעולות",קניות,Title indicates 'reserve'.
26.03.02.01,"הכנסות מאירגון האו""מ לאיכות הסביבה תכנית פעולה לים התיכון",הכנסות מיועדות,Economic class is 'earmarked revenue'.
26.03.03.12,השתתפות רשות המים,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.13,השתתפות משרד החקלאות - ירקון,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.14,השתתפות משרד הפנים - ירקון וקישון,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.15,"השתתפות ממ""י - ירקון וקישון",הכנסות מיועדות,Economic class is 'earmarked revenue'.
26.03.03.16,"השתתפות תיירות (חמ""ת) - ירקון",העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.17,"השתתפות רט""ג - ירקון",העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.18,השתתפות רשות המים - קישון,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.19,השתתפות משרד התיירות - קישון,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.20,השתתפות במשרד התירות,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.25,"השתתפות במשרד ראה""מ",העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.26,השתתפות מינהל מקרקעי ישראל בגאולת הירקון,הכנסות מיועדות,Economic class is 'earmarked revenue'.
26.03.03.31,השתתפות המשרד לשיתוף פעולה איזורי,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.03.33,הכנסה ממנהל מקרקעי ישראל,הכנסות מיועדות,Economic class is 'earmarked revenue'.
26.03.03.37,השתתפות רשות המים - פרוייקט בתי הבד,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.11.25,השתתפות במסוף מטענים מסוכנים,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.11.31,השתתפות במשרד התחבורה,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.04,"השתפות בתמ""ת",העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.07,השתתפות משרד החינוך במחקר הערכה,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.10,כדאיות כלכלית - הכנסות מגורמי חוץ,הכנסות מיועדות,Economic class is 'earmarked revenue'.
26.03.12.11,התאחדות התעשיינים - הכנסה,הכנסות מיועדות,Economic class is 'earmarked revenue'.
26.03.12.13,השתתפות משרד השיכון,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.14,השתתפות משרד הפנים,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.15,השתתפות משרד המדע,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.16,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.18,השתתפות משרד החקלאות,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.21,השתתפות במשרד החקלאות - מדען ראשי,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.22,השתתפות במשרד הקליטה,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.24,השתתפות משרד הקליטה במחקרים של מדענים עולים,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.40,השתתפות משרד הקליטה,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.50,השתתפות משרד הקליטה,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.12.52,הכנסות איחוד אירופי,הכנסות מיועדות,Economic class is 'earmarked revenue'.
26.03.12.95,רזרבה להתייקרויות כללית,רזרבות,Economic class is 'reserves'.
26.03.20.03,אחזקת רכב - יחידת הפיקוח (13 רכבים),העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.20.04,יחידת הפיקוח - ש.כ.א.,שכר,Economic class is 'personnel cap'.
26.03.20.08,השתתפות במשטרה,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.20.20,"השתתפות במשרד הביטחון - פרוייקטים בשיתוף צה""ל",העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.20.95,רזרבה להתייקרויות כללית,רזרבות,Economic class is 'reserves'.
26.03.25.95,רזרבה להתייקרויות כללית,רזרבות,Economic class is 'reserves'.
26.03.28.02,השתתפות במשרד התחבורה - פרוייקטים משותפים עם המשרד,העברות  פנים תקציביות,Economic class is 'internal transfers'.
26.03.28.04,"השתפות מע""צ",העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.05,השתתפות במשרד התשתיות הלאומיות - פרוייקט משותף בתחום התכנון,העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.09,הכנסה מהנציבות האירופית צוות הערכה,הכנסות מיועדות,Economic class is earmarked revenue
26.03.28.10,"השתתפות קק""ל - פרוייקט שטחים פתוחים",הכנסות מיועדות,Economic class is earmarked revenue
26.03.28.11,"השתתפות חל""ט - שטחים פתוחים",הכנסות מיועדות,Economic class is earmarked revenue
26.03.28.12,השתתפות משרד הפנים - פארק איילון,העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.15,26030933 בורות ים המלח,העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.16,השתתפות בתשתיות,העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.17,השתתפות משרד הפנים - פארק איילון,העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.18,השתתפות במשרד השיכון - פרוייקט משותף בתחום פיתוח בר קיימא,העברות  פנים תקציביות,"Mentions sustainable development, but is internal transfer"
26.03.28.19,"השתתפות משרד רוה""מ - פארק איילון",העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.30,השתתפות במשרד החקלאות - קורס שטחים פתוחים,העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.32,"השתתפות במשרד התמ""ת",העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.33,הכנסות מעירית ירושלים,הכנסות מיועדות,Economic class is earmarked revenue
26.03.28.37,"השתתפות משרד התעשייה, מסחר ותעסוקה",העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.40,השתתפות במכון הגיאולוגי,העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.41,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Economic class is internal transfer
26.03.28.50,הכנסות מגורמי חוץ,הכנסות מיועדות,Economic class is earmarked revenue
26.03.28.95,רזרבה להתייקרויות כללית,רזרבות,Economic class is reserve
26.03.34.95,רזרבה להתייקרויות כללית,רזרבות,Economic class is reserve
26.03.36.02,השתתפות במשרד התשתיות,העברות  פנים תקציביות,Economic class is internal transfer
26.03.36.95,רזרבה להתייקרויות כללית,רזרבות,Economic class is reserve
26.03.38.03,השתתפות משרד השיכון,העברות  פנים תקציביות,Economic class is internal transfer
26.03.38.04,השתתפות משרד החקלאות - תכניות רפתות,העברות  פנים תקציביות,Economic class is internal transfer
26.03.38.07,השתתפות נציבות המים,העברות  פנים תקציביות,Economic class is internal transfer
26.03.38.08,קולחין ארצי,העברות  פנים תקציביות,Economic class is internal transfer
26.03.38.09,השתתפות במשרד חקלאות - פרוייקטים משותפים בתחום החקלאות,העברות  פנים תקציביות,Economic class is internal transfer
26.03.40.15,הכנסות בית ספר חומרים מסוכנים,הכנסות מיועדות,Economic class is earmarked revenue
26.03.40.21,"הכנסה תע""ש",הכנסות מיועדות,Economic class is earmarked revenue
26.03.40.22,הכנסה מינהל מקרקעי ישראל,הכנסות מיועדות,Economic class is earmarked revenue
26.03.40.23,הכנסה עירית ירושלים,הכנסות מיועדות,Economic class is earmarked revenue
26.03.40.24,השתתפות משרד התשתיות,העברות  פנים תקציביות,Economic class is internal transfer
26.03.40.25,השתתפות במשרד הביטחון,העברות  פנים תקציביות,Economic class is internal transfer
26.03.40.27,השתתפות משרד התשתיות הלאומיות,העברות  פנים תקציביות,Economic class is internal transfer
26.03.40.41,קרינה - חודשי עבודה,שכר,Economic class is personnel cap
26.03.40.42,קרינה - הכנסות מאגרות,הכנסות מיועדות,Economic class is earmarked revenue
26.03.40.72,השתתפות בלשכה מרכזית לסטטיסטיקה,העברות  פנים תקציביות,Economic class is internal transfer
26.03.40.91,השתתפות במשרד התחבורה - פרוייקט גריטת רכבים,העברות  פנים תקציביות,Economic class is internal transfer
26.03.41.11,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Economic class is internal transfer
26.03.41.12,"השתתפות ברט""ג - מוקד מידע",העברות  פנים תקציביות,Economic class is internal transfer
26.03.41.14,השתתפות משרד החינוך,העברות  פנים תקציביות,Economic class is internal transfer
26.03.41.16,השתתפות משרד התיירות,העברות  פנים תקציביות,Economic class is internal transfer
