code,title,economic_class,reason
34.06.03.21,השתתפות משרדי ממשלה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.03.22,רזרבה למחקרים,קניות,Reserve for research for Ministry of Energy.
34.06.03.23,הכנסות ממינהל מדעי האדמה,הכנסות מיועדות,Earmarked revenue.
34.06.03.25,"עב""צ ע""ח קרנות מחקר",שכר,Personnel-related cost for research activities.
34.06.03.26,הכנסות מקרנות מחקר,הכנסות מיועדות,Earmarked revenue from research funds.
34.06.03.27,החזר הוצ' רכב שירות ואישי,שכר,Personnel-related cost.
34.06.03.28,השתתפות משרד המדע בקרנות מחקר,העברות  פנים תקציביות,Internal budgetary transfer for research funds.
34.06.03.29,שכר עידוד,שכר,Personnel-related cost.
34.06.03.35,שעות סטודנטים,שכר,Personnel-related cost.
34.06.03.89,השתתפות משרד לפיתוח אזורי,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.03.95,רזרבה להתייקרויות כללית,רזרבות,General reserve.
34.06.03.96,רזרבה להתייקרויות כללית,רזרבות,General reserve.
34.06.04.06,שכר דירה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.07,דמי שימוש בדיור ממשלתי,קניות,General administrative overhead for Ministry of Energy.
34.06.04.08,"אחזקת מערכת כ""א בנש""מ",העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.10,אחזקת רכב ממשלתי,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.11,השתתפות בפרוייקט תהילה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.13,השתתפות משרדי ממשלה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.14,הכנסות ממכירת שירותים לגורמי חוץ,הכנסות מיועדות,Earmarked revenue.
34.06.04.17,שרותים מיוחדים,קניות,General administrative overhead for Ministry of Energy.
34.06.04.18,השתתפות המכס,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.19,השתתפות רשות המים,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.20,השתתפות משרד הביטחון,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.21,"השתתפות מע""צ",העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.22,השתתפות משרד הביטחון,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.23,"השתתפות המשרד לאיכה""ס",העברות  פנים תקציביות,Internal budgetary transfer with Ministry of Environmental Protection.
34.06.04.25,"השתתפות במפ""י",העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.26,השתתפות משרד המדע,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.27,הכנסות ממינהל מדעי האדמה,הכנסות מיועדות,Earmarked revenue.
34.06.04.28,השתתפות משרד הקליטה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.29,השתתפות משרד השיכון,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.32,השתתפות משרד התחבורה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.33,השתתפות משרד התיירות,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.34,הכנסות ממנהל מקרקעי ישר ישראל,הכנסות מיועדות,Earmarked revenue.
34.06.04.40,השתתפות משרד הקליטה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.41,רכישת שירותים ממשרדי ממשלה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.42,מכירת שירותים למשרדי ממשלה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.04.95,רזרבה להתייקרויות כללית,רזרבות,General reserve.
34.06.06.01,רזרבה להתייקרויות שכר,שכר,Reserve for salary increases.
34.06.06.02,"ע.ב.צ ע""ח האחוד האירופי",שכר,Personnel-related cost for EU R&D.
34.06.06.03,רזרבה להתייקרויות,שכר,General reserve.
34.06.06.04,רזרבה לעמידה ביעד הוצאה,קניות,Reserve for spending target.
34.23.01.95,רזרבה להתייקרויות כללית,רזרבות,General reserve account for sewerage program.
34.24.01.01,רזרבה להתייקרויות שכר,שכר,General reserve for price increases.
34.24.01.02,רזרבה להתייקרויות קניות,קניות,General reserve for price increases.
34.24.01.03,רזרבה לעמידה ביעדי הגרע,קניות,General reserve for price increases.
34.24.01.04,"רזרבה להתייקרויות בחו""ל",שכר,General reserve for price increases.
34.24.01.05,רזרבה לעמידה ביעד ההוצאה,קניות,General reserve for price increases.
34.24.01.95,רזרבה להתייקרויות כללית,רזרבות,General reserve for price increases.
34.30.01.01,שיא כח אדם,שכר,Personnel cap for Ministry of Energy.
34.30.02.06,השתתפות ממשרדי הממשלה,העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
34.30.02.08,הכנסות מגורמי חוץ,העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
34.30.02.13,השתתפות במשרדי הממשלה - תפעול,העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
34.30.02.15,הכנסות מתביעות אזרחיות יזומות,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.30.02.16,השתתפויות ממשרדים,העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
34.30.02.18,הכנסות מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.30.02.21,הכנסה מגורמי חוץ,הכנסות  מיועדות,"Earmarked revenue, not direct spending."
34.30.03.13,הכנסות ממכירת דלקים,הכנסות מיועדות,"Earmarked revenue from fuel sales, likely includes fossil fuels."
34.30.03.14,השתתפות ממשרדי הממשלה,העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
34.30.03.15,השתתפות במשרדי הממשלה - מקצועי,העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
34.30.03.22,רזרבה לתקציב התאמות  2019,קניות,General reserve account for budget adjustments.
34.30.03.40,הכנסות מפעילות אכיפה - דלקים,הכנסות  מיועדות,"Earmarked revenue from fuel enforcement, likely fossil fuels."
34.30.03.41,השתתפויות במשרדי ממשלה,העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
34.30.03.53,הכנסה מהקרן לאזרחי ישראל,הכנסות  מיועדות,"Earmarked revenue, not direct spending."
34.32.01.01,רזרבה להתיקרויות העברות,העברות,General reserve for price increases.
34.32.01.02,רזרבה להתיקרויות שכר,שכר,General reserve for price increases.
34.32.01.03,רזרבה ליעדים פיסקליים,קניות,General reserve for price increases.
34.32.01.04,רזרבה לתקציב התאמות,קניות,General reserve for price increases.
34.32.01.99,"חיא""ל הכנסה - לא לתקצוב - לצורך פעילות במרכב""ה",הכנסות מיועדות,"Earmarked revenue, internal budget adjustment."
34.33.01.01,"שיא כ""א",שכר,Personnel cap for Ministry of Energy.
34.33.01.07,השתתפות במשרדים אחרים,העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
34.99.99.99,חשבון מעבר,חשבונות מעבר,"Transfer account, not direct spending."
38.02.01.03,גביה מזכאי קרן מחקר,הכנסות מיועדות,Earmarked revenue from research fund.
38.02.01.04,החזרים ממקבלי מענקים,הכנסות מיועדות,Earmarked revenue from grant recipients.
38.02.01.05,הכנסות מתמלוגים,הכנסות מיועדות,Earmarked revenue from royalties.
38.02.01.10,הכנסות מהאיחוד האירופי,הכנסות מיועדות,Earmarked revenue from European Union.
38.02.01.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,General reserve for price increases.
38.02.01.95,רזרבה להתייקרויות כללית,רזרבות,General reserve for price increases.
38.02.01.98,הכנסות מקרנות מחקר,הכנסות מיועדות,Earmarked revenue from research funds.
38.02.02.10,הכנסות תמלוגים מפרויקטי חממות,הכנסות מיועדות,Earmarked revenue from incubator projects.
38.02.02.21,"הכנסות מתכנית ""תנופה""",הכנסות מיועדות,Earmarked revenue from a general program.
38.02.02.26,"רזרבה למענקי מו""פ",העברות,Reserve for R&D grants.
38.02.02.28,"השתתפות משרד התמ""ס",העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
38.02.02.29,הפחתה לתקציב מרכז,העברות  פנים תקציביות,"Internal transfer, not specific green energy spending."
38.02.02.36,"הפחתה מתגבור תוכניות מו""פ",העברות  פנים תקציביות,Internal transfer from R&D programs.
38.02.02.39,"עתודה לקרנות מו""פ משותפות",העברות,Reserve for joint R&D funds.
38.02.02.50,"עתודה לתמיכה במו""פ",העברות,Reserve for R&D support.
38.02.02.59,עתודה להשתתפות בפרויקט מאיץ הפרוטונים,העברות,Reserve for proton accelerator project.
38.02.02.71,"עתודה למו""פ",העברות,Reserve for R&D.
38.02.02.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,General reserve for price increases.
38.02.02.95,רזרבה להתייקרויות כללית,רזרבות,General reserve for price increases.
38.02.03.08,הכנסות מקרן השיווק,הכנסות מיועדות,Earmarked revenue.
38.02.03.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve.
38.02.03.95,רזרבה להתייקרויות כללית,רזרבות,Reserve.
38.02.04.03,"השתתפות ות""ת בהוצאות גוף המטה למו""פ אירופאי",העברות  פנים תקציביות,Intra-budget transfer.
38.02.04.04,"השתתפות משרד התמ""ס במשרד הקישור לתוכנית המ ו""פ האירופית",העברות  פנים תקציביות,Intra-budget transfer.
38.02.04.05,"השתתפות משרד המדע במשרד הקישור לתוכנית המו""פ האירופית",העברות  פנים תקציביות,Intra-budget transfer.
38.02.04.07,"השתתפות משרד המדע במו""פ אירופי",העברות  פנים תקציביות,Intra-budget transfer.
38.02.04.08,"השתתפות ות""ת במו""פ אירופי",העברות  פנים תקציביות,Intra-budget transfer.
38.02.04.16,דמי חבר ב- ESRF,העברות  פנים תקציביות,Intra-budget transfer.
38.02.04.21,השתתפות בטחון - גלילאו,העברות  פנים תקציביות,Intra-budget transfer.
38.02.04.22,הכנסות מגלילאו,הכנסות מיועדות,Earmarked revenue.
38.02.04.23,"גריד - השתתפות בות""ת",העברות  פנים תקציביות,Intra-budget transfer.
38.02.04.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve.
38.02.04.95,רזרבה להתייקרויות כללית,רזרבות,Reserve.
38.02.05.33,"השתתפות מדע- יישום הסכם המו""פ",העברות  פנים תקציביות,Intra-budget transfer.
38.02.05.34,"השתתפות ות""ת- יישום הסכם המו""פ",העברות  פנים תקציביות,Intra-budget transfer.
38.02.05.35,"השתתפות מדע- יישום הסכם המו""פ",העברות  פנים תקציביות,Intra-budget transfer.
38.02.05.36,"השתתפות ות""ת- יישום הססכם המו""פ",העברות  פנים תקציביות,Intra-budget transfer.
38.02.06.03,הכנסות קרן הניהול,העברות  פנים תקציביות,Intra-budget transfer.
38.09.01.01,רזרבה למימון התקינה,העברות,Reserve.
38.09.01.04,הכנסות מקיזוז חוב,הכנסות מיועדות,Earmarked revenue.
38.09.01.05,"שכ""ד - הרשות להסמכת מעבדות",העברות  פנים תקציביות,Intra-budget transfer.
38.09.01.06,הכנסות מקרן השווק,העברות  פנים תקציביות,Intra-budget transfer.
38.09.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve.
38.13.02.02,"רזרבה להכשרה והסבת כ""א",העברות,Reserve.
38.13.02.05,השתתפות משרד החינוך,העברות  פנים תקציביות,Intra-budget transfer.
38.13.02.08,השתתפות במשרד החינוך,העברות  פנים תקציביות,Intra-budget transfer.
38.13.02.10,השתתפות משרד העבודה והרווחה,העברות  פנים תקציביות,Intra-budget transfer.
38.13.02.11,השתתפות מפעלים,הכנסות מיועדות,Earmarked revenue.
38.30.01.02,הכנסות מתמלוגים והחזרים,הכנסות מיועדות,Earmarked revenue.
38.30.01.03,"עתודה להתאמת תקציבי פרוייקטים במו""פ",העברות,Reserve for R&D projects.
38.30.01.04,השתתפות במשרד הבריאות,העברות  פנים תקציביות,Intra-budget transfer.
38.30.01.09,עתודה להרשאת מדען ראשי,העברות,Reserve for R&D authorization.
38.30.01.10,"השתתפות ותת - הסכם מו""פ",העברות  פנים תקציביות,Intra-budget transfer.
38.30.01.11,"השתתפות מדע - יישום הסכם מו""פ",העברות  פנים תקציביות,Intra-budget transfer.
38.30.01.12,הכנסות מהאיחוד האירופי,הכנסות מיועדות,Earmarked revenue.
38.30.01.14,השתתפות משרדים,העברות  פנים תקציביות,Intra-budget transfer.
38.30.01.20,הכנסות הרשות,הכנסות  מיועדות,Earmarked revenue.
38.30.01.22,רזרבה לתקציב התאמות,קניות,Reserve.
38.30.01.92,שיא כוח אדם - עתודה לשינוי מבני,שכר,Personnel cap.
38.30.01.96,השתתפות בשכר דירה,העברות  פנים תקציביות,Intra-budget transfer.
38.30.01.97,הכנסות מפרוייקטים מופ אירופי,הכנסות  מיועדות,Earmarked revenue.
38.30.02.17,השתתפות משרד החקלאות,העברות  פנים תקציביות,Intra-budget transfer.
38.30.02.20,"הכנסות מתכנית ""תנופה""",הכנסות מיועדות,Earmarked revenue.
38.30.02.21,השתתפות משרד הביטחון,העברות  פנים תקציביות,Intra-budget transfer.
38.30.02.23,השתתפות משרד החוץ,העברות  פנים תקציביות,Intra-budget transfer.
38.30.02.25,הכנסות מתמלוגים והחזרים,הכנסות  מיועדות,Earmarked revenue.
38.30.02.29,השתתפות ותת במכון מחקר,העברות  פנים תקציביות,Intra-budget transfer.
38.30.02.30,השתתפות הרשות במשרדים,העברות  פנים תקציביות,Intra-budget transfer.
38.30.02.31,השתתפות בותת,העברות  פנים תקציביות,Intra-budget transfer.
38.30.02.33,"עתודה להתאמת תקציבי מו""פ",העברות,Reserve for R&D budget adjustments.
38.30.02.34,הכנסות מהאיחוד האירופי,הכנסות  מיועדות,Earmarked revenue.
38.30.02.35,עתודה להרשאה הרשות לחדשנות,העברות,Reserve for Innovation Authority authorization.
38.30.02.37,הכנסות - הרשות לחדשנות,הכנסות  מיועדות,Earmarked revenue.
38.30.02.41,רזרבה לתקציב התאמות,קניות,Reserve.
38.30.02.42,רזרבה להתיקרויות העברות,העברות,Reserve.
38.30.02.44,הכנסות קרנות בילטרליות,הכנסות  מיועדות,Earmarked revenue.
38.30.02.45,השתתפות מפאת,העברות  פנים תקציביות,Intra-budget transfer.
38.30.02.47,השתתפות במפעלי ביטחון,העברות  פנים תקציביות,Intra-budget transfer.
38.30.02.99,רזרבה להתייקרויות העברות,העברות,Reserve.
38.30.03.02,"השתתפות בות""ת - מרכזי ננו טכנווגיה",העברות  פנים תקציביות,Intra-budget transfer.
38.30.03.04,"השתתפות ות""ת - מרכז ביו-טכנולוגיה",העברות  פנים תקציביות,Intra-budget transfer.
38.30.03.06,"גריד - השתתפות בות""ת",העברות  פנים תקציביות,Intra-budget transfer.
38.30.03.07,השתתפות במשרד הבטחון,העברות  פנים תקציביות,Intra-budget transfer.
38.30.04.05,"מו""פ אירופי - השתתפות ות""ת",העברות  פנים תקציביות,Intra-budget transfer.
38.30.04.06,"מו""פ אירופי- השתתפות המשרדים",העברות  פנים תקציביות,Intra-budget transfer.
38.30.04.10,רזרבת עמידה בהחלטת ממשלה מספר 1879,קניות,Reserve.
38.90.01.02,אחזקת רכב ממשלתי,העברות  פנים תקציביות,Intra-budget transfer.
38.90.01.03,שכר דירה,העברות  פנים תקציביות,Intra-budget transfer.
38.90.01.20,שיא כח אדם,שכר,Personnel cap.
38.90.01.29,עתודת שיא כח אדם,שכר,Personnel cap.
38.90.01.98,רזרבה להתייקרויות שכר,שכר,Reserve.
38.90.01.99,רזרבה ליעדים פיסקליים,קניות,Reserve.
83.01.10.02,הכנסות ממכירת ציוד,הכנסות מיועדות,Earmarked revenue.
83.01.10.03,"השתתפות במע""צ",העברות  פנים תקציביות,Intra-budget transfer.
83.03.02.09,השתתפות משרדי הממשלה,העברות  פנים תקציביות,Internal transfer; distorts budget totals.
83.03.02.12,השתתפות במשרדי ממשלה,העברות  פנים תקציביות,Internal transfer; distorts budget totals.
83.03.02.15,רזרבה לתוכניות פיתוח ירושלים,השקעה,Reserve for development programs; distorts budget totals.
83.05.02.02,רזרבה לעמידה ביעדי הוצאה,השקעה,Reserve for expenditure targets; distorts budget totals.
83.05.02.11,רזרבה לתקציב התאמות  2019,השקעה,Reserve for adjustment budget; distorts budget totals.
