code,title,office,program,economic_class_primary,counts_in_total,item_url
19.42.02.03,שיפוצים בקנה מידה נרחב,"משרד המדע והחלל, התרבות",מינהל התרבות,העברות,yes,https://next.obudget.org/i/575e5a42f6e4
19.42.02.04,בית התפוצות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/9953d852d139
19.42.02.05,רזרבה להתייקרויות,"משרד המדע והחלל, התרבות",מינהל התרבות,העברות,yes,https://next.obudget.org/i/569664083b9b
19.42.02.06,מרכז זלמן שזר,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/8aa70b87a9ae
19.42.02.07,תיאטרון,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/7ea385d66238
19.42.02.08,הכנסות שירות הסרטים,"מדע, תרבות וספורט",מינהל התרבות,הכנסות מיועדות,no,https://next.obudget.org/i/7bee5ab6ca1b
19.42.02.09,מוסדות במצוקה,"משרד המדע והחלל, התרבות",מינהל התרבות,העברות,yes,https://next.obudget.org/i/3b9e2b6c1523
19.42.02.10,שיפוצים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/eb4902cd81cd
19.42.02.11,שירות הסרטים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/dd10eff6e5ec
19.42.02.12,אמנים עצמאיים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/5246b92b5425
19.42.02.13,פרסי תרבות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/a65ab4567a73
19.42.02.14,מחקר מורשת ואיגודים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/7fd2e386affb
19.42.02.15,תאטראות תמיכה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/ae87b2f0af9f
19.42.02.16,מוסיקה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/fd483940c8d7
19.42.02.17,יד בן צבי,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/d83d25053d38
19.42.02.18,מוזיאונים ואמנות פלסטית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/836eeebe3689
19.42.02.19,האקדמיה ללשון העברית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/5c175c2fcf12
19.42.02.20,מחול וארגוני גג,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/864aa0d54b50
19.42.02.21,אופרות תמיכה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/f7d9d32f9050
19.42.02.22,ספרות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/9a305bdd9188
19.42.02.23,ספריות תמיכות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/93d6901ce9f1
19.42.02.24,אמנות פלסטית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/5e0ea578d897
19.42.02.25,תפעול מנהל תרבות,"מדע, תרבות וספורט",מינהל התרבות,קניות,yes,https://next.obudget.org/i/fd5e95e1a53e
19.42.02.26,פסטיבלים לתרבות ואומנות - תמיכה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/97d511574f14
19.42.02.27,החלטות ממשלה מורשת ועובדת,"משרד המדע והחלל, התרבות",מינהל התרבות,העברות,yes,https://next.obudget.org/i/37b5dd4f261e
19.42.02.28,חוק  הקולנוע,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/ba45920fb10f
19.42.02.29,הענקות ליוצרים,"משרד המדע והחלל, התרבות",מינהל התרבות,העברות,yes,https://next.obudget.org/i/122672a840b4
19.42.02.30,קרן לעזרת סופרים ואמנים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/b652c538f1ed
19.42.02.31,תרבות בקהילה תמיכה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/ab6158c18222
19.42.02.32,מורשת עדות ישראל,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/79a112a1929a
19.42.02.33,תרבות ערבית ודרוזית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/f8b2199a0bff
19.42.02.34,מוסדות תרבות תורנית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/932eb5439ef4
19.42.02.35,תרבות בנגב,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/a15ac28c8ef4
19.42.02.36,בתי ספר לאומנות - תמיכה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/37e2851e16ac
19.42.02.37,אזרחים ותיקים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/484ca7ce724d
19.42.02.38,תאטרון אזרחים ותיקים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/061c6f87cced
19.42.02.39,השקעת בעלים בחברת הבימה,"משרד המדע והחלל, התרבות",מינהל התרבות,העברות,yes,https://next.obudget.org/i/9ccf9a60d693
19.42.02.40,זכויות יוצרים לקלטות - תמיכה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/04e99e2bb88c
19.42.02.41,הכנסות מנהל תרבות,"מדע, תרבות וספורט",מינהל התרבות,הכנסות  מיועדות,no,https://next.obudget.org/i/6003521a1459
19.42.02.42,המועצה הלאומית לתרבות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/44aed332970a
19.42.02.43,אקדמיה ללשון ערבית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/4b9a0db1b0e3
19.42.02.44,המועצה לתרבות היידיש,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/a26588172963
19.42.02.45,שימור אתרי התיישבות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/5e900707ea38
19.42.02.46,השתתפות בשיפוץ הביתן באשוויץ,"משרד המדע והחלל, התרבות",מינהל התרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/5c4dac128a8d
19.42.02.47,מענק ירושלים לתרבות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/bd7ee51afd9e
19.42.02.48,פעולות כלליות בתרבות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/8bc76938f986
19.42.02.49,פעולות תרבות לדרוזים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/d48ab095491e
19.42.02.50,ספריות פעולות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/68b28d9c2719
19.42.02.51,שימור רצף פעולות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/cc548d85c0ff
19.42.02.52,הלוואות למוסדות במצוקה,"משרד המדע והחלל, התרבות",מינהל התרבות,העברות,yes,https://next.obudget.org/i/1b465d0e7d71
19.42.02.53,מרכז למורשת יהדות אתיופיה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/a71cc1e04be2
19.42.02.54,תמיכה ברבנים רפורמים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/fd0473491f2a
19.42.02.55,זמר עברי,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/53ff2e3a5354
19.42.02.56,סל לתרבות עירונית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/67d2e480b8e3
19.42.02.57,אירגוני גג בתרבות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/acda664a9203
19.42.02.58,"תקנת מחול - יוצרים עצמאיים, הרכבים מרכזים ופרויקטים","מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/0a9efed3011d
19.42.02.59,גופים כליים - מוסיקה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/05bf70600117
19.42.02.60,ארכיונים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/6013ebd910d4
19.42.02.61,רזרבה לתקציב התאמות  2019,"מדע, תרבות וספורט",מינהל התרבות,קניות,yes,https://next.obudget.org/i/856b6f4573eb
19.42.02.62,ינוקא,"משרד המדע והחלל, התרבות",מינהל התרבות,קניות,yes,https://next.obudget.org/i/bc303a754855
19.42.02.63,גופים במצוקה תקציבית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/15c3a070083c
19.42.02.64,מגה שיפוצים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/73b29d54108a
19.42.02.65,תרבות חרדית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/54525e4be324
19.42.02.66,בתי ספר למחול לבני נוער,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/e81a99ea5d97
19.42.02.67,כתבי עת,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/5c24da318542
19.42.02.68,תרגום ספרות עברית,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/dafaeaba9694
19.42.02.69,ספרות הרשאה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/e8d87e177d26
19.42.02.70,מורשת הדרוזים - תאגיד,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/4e0a88e15247
19.42.02.71,מימון בית התפוצות,"מדע, תרבות וספורט",מינהל התרבות,מתן אשראי,yes,https://next.obudget.org/i/2fea54d2cc76
19.42.02.72,מרכז מורשת הדרוזים - פיתוח,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/86a5f2c8a4cb
19.42.02.73,תמיכות בחירום קורונה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/34e4d191a52d
19.42.02.74,סיוע למוסדות בגין קורונה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/103a8f00bdd5
19.42.02.75,קורונה – רכש ומופעים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/5dc505645f66
19.42.02.76,שימור אתרים - פיתוח,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/19598d62332a
19.42.02.77,חרבות ברזל - תמיכה,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/e1970969fd6d
19.42.02.78,חרבות ברזל-מענה ראשוני תרבות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/6b8a1fc64e17
19.42.02.79,חומש מיעוטים,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/a4cf9cd9dd66
19.42.02.80,מלגות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/cd5539c729ef
19.42.02.81,פרויקטים בתרבות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/c5f217a3034e
20.31.03.01,רזרבה לקידום התרבות השתתפות מסעיף 13 לתקציב 2005 (עבודה),משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/bfd17b57c4b1
20.31.03.02,השתתפות מסעיף 13 לעניין תרבות לתקציב 2005 (עבודה),משרד החינוך,מנהל התרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/738a9e269e96
20.31.03.05,הפעלת המועצה לתרבות,משרד החינוך התרבות,מנהל התרבות,העברות,yes,https://next.obudget.org/i/cc1fb3b04892
20.31.03.06,רזרבה לקידום התרבות,משרד החינוך התרבות,מנהל התרבות,העברות,yes,https://next.obudget.org/i/6fa0d0becd11
20.31.03.11,פעולות תרבות במימון קרן העזבונות,משרד החינוך התרבות,מנהל התרבות,קניות,yes,https://next.obudget.org/i/c673d262153a
20.31.03.32,קבוצות תיאטרון פרוייקטים ויוזמות - תמיכה,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/8c7095af479f
20.31.03.40,תמיכה לשיפוצים במוסדות תרבות,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/66d13a964cf2
20.31.03.43,פרסי תרבות,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/f525823f4a60
20.31.03.45,מוסדות תרבות ומחקר,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/88c825d0b863
20.31.03.52,מחול - תמיכה,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/3cfef6ec0114
20.31.03.55,"השתתפות משרד רוה""מ בפרס רוה""מ לספרות",משרד החינוך התרבות,מנהל התרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/593bbfedd78e
20.31.03.59,פסטיבלים לתרבות ואמנות - תמיכה,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/ce1c92cb6762
20.31.03.67,תרבות בקהילה - תמיכה,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/7a46fb1082da
20.31.03.68,יזמות בתרבות,משרד החינוך התרבות,מנהל התרבות,העברות,yes,https://next.obudget.org/i/475dd83adb26
20.31.03.70,פעולות בתרבות,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/8cce1d8c5d43
20.31.03.72,אבטחת משלחות תרבות,משרד החינוך התרבות,מנהל התרבות,קניות,yes,https://next.obudget.org/i/a2b5bb2df545
20.31.03.73,פעולות תרבות לערבים - תמיכה,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/a6b17c302916
20.31.03.74,מוסדות תרבות תורנית - תמיכה,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/3316f37f03b4
20.31.03.75,זמר עברי - פעולות,משרד החינוך התרבות,מנהל התרבות,קניות,yes,https://next.obudget.org/i/de25a3b31663
20.31.03.81,השקעת בעלים בחברת הבימה,משרד החינוך,מנהל התרבות,קניות,yes,https://next.obudget.org/i/8d5bfe8c028c
20.31.03.82,רזרבה - שיפוצים במוסדות תרבות,משרד החינוך התרבות,מנהל התרבות,העברות,yes,https://next.obudget.org/i/8fc80937756e
20.31.03.85,ספריות ציבוריות - תמיכה,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/2a99e9fe7312
20.31.03.88,מועצה הלאומית לתרבות הלאדינו,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/35d6b037e317
20.31.03.90,פעולות תרבות - כללי,משרד החינוך והתרבות,תמיכות במוסדות תרבות,קניות,yes,https://next.obudget.org/i/445adbbb2d1f
20.31.03.91,מועצה לתרבות היידיש,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/589d3432904f
20.31.03.93,"הפצת תרבות ישראלית בחו""ל - תמיכה",משרד החינוך התרבות,מנהל התרבות,העברות,yes,https://next.obudget.org/i/459878e86d0c
20.31.03.95,תמיכה לפעולות תרבות בשכונות,משרד החינוך התרבות,מנהל התרבות,העברות,yes,https://next.obudget.org/i/cf5e12b7c08a
20.31.03.96,מענק ירושלים לתרבות,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/fb8b331cee40
20.31.03.99,פעולות תרבות לדרוזים - תמיכה,משרד החינוך,מנהל התרבות,העברות,yes,https://next.obudget.org/i/4776fb9a3379
