code,title,office,domain,verdict,reason
04.01.85,נתיב - הוראת עברית,משרד ראש הממשלה,תחום פעולה כללי,drop,"הוראת עברית, לא קשור לאנרגיה מתחדשת."
04.01.86,שמש לאחוה ודו-קיום,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק באחווה ודו-קיום, לא קשור לאנרגיה מתחדשת."
04.01.87,מעקב אחר אנטישמיות,משרד ראש הממשלה,תחום פעולה כללי,drop,"מעקב אחר אנטישמיות, לא קשור לאנרגיה מתחדשת."
04.01.88,מרכז שזר,משרד ראש הממשלה,תחום פעולה כללי,drop,"מרכז שזר, לא קשור לאנרגיה מתחדשת."
04.01.89,בית מדרש ללימודי יהדות,משרד ראש הממשלה,תחום פעולה כללי,drop,"לימודי יהדות, לא קשור לאנרגיה מתחדשת."
04.01.90,פעולות בעקבות המצב,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.01.91,יד יצחק בן צבי,משרד ראש הממשלה,תחום פעולה כללי,drop,"יד יצחק בן צבי, לא קשור לאנרגיה מתחדשת."
04.01.92,משרד ראש הממשלה -,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.01.93,יד טבנקין,משרד ראש הממשלה,תחום פעולה כללי,drop,"יד טבנקין, לא קשור לאנרגיה מתחדשת."
04.01.94,קרן מנחם בדר,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת שם פרטי, לא ברור מה התוכן."
04.01.95,מסדר לוחמי ירושלים,משרד ראש הממשלה,תחום פעולה כללי,drop,"מסדר לוחמי ירושלים, לא קשור לאנרגיה מתחדשת."
04.01.96,אגודת דור הפלמח,משרד ראש הממשלה,תחום פעולה כללי,drop,"אגודת דור הפלמח, לא קשור לאנרגיה מתחדשת."
04.01.97,רעות קרן עזרה,משרד ראש הממשלה,תחום פעולה כללי,drop,"קרן עזרה, לא קשור לאנרגיה מתחדשת."
04.01.98,סיוע נפגעות תקיפה מינית,משרד ראש הממשלה,תחום פעולה כללי,drop,"סיוע נפגעות תקיפה מינית, לא קשור לאנרגיה מתחדשת."
04.01.99,"בית מוריה ""זה""ב",משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת שם פרטי, לא ברור מה התוכן."
04.02.11,לשכת ראש הממשלה,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.02.12,מזכירות הממשלה,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.02.13,הועדה לבחינת חוק בנק,משרד ראש הממשלה,ראשות הממשלה,drop,"עוסק בחוק בנק, לא קשור לאנרגיה מתחדשת."
04.02.14,יעוץ לראש הממשלה,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.02.15,לשכת ראש הממשלה לשעבר,משרד ראש הממשלה,ראשות הממשלה,drop,"לשכת ראש ממשלה לשעבר, לא קשור לאנרגיה מתחדשת."
04.02.16,לשכת ראש הממשלה לשעבר -,משרד ראש הממשלה,ראשות הממשלה,drop,"לשכת ראש ממשלה לשעבר, לא קשור לאנרגיה מתחדשת."
04.02.17,לשכת ראש הממשלה לשעבר,משרד ראש הממשלה,ראשות הממשלה,drop,"לשכת ראש ממשלה לשעבר, לא קשור לאנרגיה מתחדשת."
04.02.18,לשכת ראש הממשלה לשעבר,משרד ראש הממשלה,ראשות הממשלה,drop,"לשכת ראש ממשלה לשעבר, לא קשור לאנרגיה מתחדשת."
04.02.19,אמרכלות ראשות הממשלה,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.02.20,צוות בטחון לאומי,משרד ראש הממשלה,ראשות הממשלה,drop,"צוות ביטחון לאומי, לא קשור לאנרגיה מתחדשת."
04.02.21,הרשות לקידום מעמד האשה,משרד ראש הממשלה,ראשות הממשלה,drop,"קידום מעמד האישה, לא קשור לאנרגיה מתחדשת."
04.02.23,לשכת השר חיים רמון,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.24,לשכת השר מיכאל מלכיאור,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.25,חטיבת חברה,משרד ראש הממשלה,ראשות הממשלה,drop,"חטיבת חברה, לא קשור לאנרגיה מתחדשת."
04.02.26,חטיבת תפוצות,משרד ראש הממשלה,ראשות הממשלה,drop,"חטיבת תפוצות, לא קשור לאנרגיה מתחדשת."
04.02.28,פרוייקטים לעידוד,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.02.30,המטה ללוחמה בטרור,משרד ראש הממשלה,ראשות הממשלה,drop,"מטה ללוחמה בטרור, לא קשור לאנרגיה מתחדשת."
04.02.31,נציב קבילות הסיענים,משרד ראש הממשלה,ראשות הממשלה,drop,"נציב קבילות הסיעוד, לא קשור לאנרגיה מתחדשת."
04.02.32,המועצה לביטחון לאומי,משרד ראש הממשלה,ראשות הממשלה,drop,"מועצה לביטחון לאומי, לא קשור לאנרגיה מתחדשת."
04.02.35,"יעוץ לרוה""מ מעוטים",משרד ראש הממשלה,ראשות הממשלה,drop,"ייעוץ לרוה""מ מיעוטים, לא קשור לאנרגיה מתחדשת."
04.02.38,"יועץ רוה""מ לענייני",משרד ראש הממשלה,ראשות הממשלה,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.02.42,פעולות הסברה ושיחות,משרד ראש הממשלה,ראשות הממשלה,drop,"פעולות הסברה ושיחות, לא קשור לאנרגיה מתחדשת."
04.02.43,מינהלת שיחות שלום,משרד ראש הממשלה,ראשות הממשלה,drop,"מינהלת שיחות שלום, לא קשור לאנרגיה מתחדשת."
04.02.44,לשכת השר הרב עמיטל,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.45,לשכת גב' רבין,משרד ראש הממשלה,ראשות הממשלה,drop,"לשכת גב' רבין, לא קשור לאנרגיה מתחדשת."
04.02.46,חגיגות שנת ה-50,משרד ראש הממשלה,ראשות הממשלה,drop,"חגיגות שנת ה-50, לא קשור לאנרגיה מתחדשת."
04.02.47,מחשב לכל ילד,משרד ראש הממשלה,ראשות הממשלה,drop,"מחשב לכל ילד, לא קשור לאנרגיה מתחדשת."
04.02.48,אגף הפיקוח הכללי,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.02.49,לשכת שר בלי תיק -,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.50,הידוק הקשרים עם התפוצות,משרד ראש הממשלה,ראשות הממשלה,drop,"קשרים עם התפוצות, לא קשור לאנרגיה מתחדשת."
04.02.51,מטה הרפורמה בשירות,משרד ראש הממשלה,ראשות הממשלה,drop,"רפורמה בשירות, לא קשור לאנרגיה מתחדשת."
04.02.52,המועצה להנצחה,משרד ראש הממשלה,ראשות הממשלה,drop,"מועצה להנצחה, לא קשור לאנרגיה מתחדשת."
04.02.53,תמיכות בארגוני הנצחה,משרד ראש הממשלה,ראשות הממשלה,drop,"תמיכות בארגוני הנצחה, לא קשור לאנרגיה מתחדשת."
04.02.54,ייעוץ ממשרד הקליטה,משרד  ראש הממשלה,ראשות הממשלה,drop,"ייעוץ ממשרד הקליטה, לא קשור לאנרגיה מתחדשת."
04.02.60,לשכת ראש הממשלה לשעבר,משרד ראש הממשלה,ראשות הממשלה,drop,"לשכת ראש ממשלה לשעבר, לא קשור לאנרגיה מתחדשת."
04.02.61,לשכת שר בלי תיק דני,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.62,לשכת שר בלי תיק רענן,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.63,לשכת שר בלי תיק - אלי,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.64,לשכת שר בלי תיק - שמואל,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.65,לשכת השר לענייני ערבים,משרד ראש הממשלה,ראשות הממשלה,drop,"ענייני ערבים, לא קשור לאנרגיה מתחדשת."
04.02.66,לשכת סגן שר בלי תיק -,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת סגן שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.67,לשכת שר בלי תיק - דן,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.68,המטה להסדרת התיישבות,משרד ראש הממשלה,ראשות הממשלה,drop,"הסדרת התיישבות, לא קשור לאנרגיה מתחדשת."
04.02.69,תוכנית פיתוח ישובי,משרד ראש הממשלה,ראשות הממשלה,drop,"פיתוח יישובי, לא קשור לאנרגיה מתחדשת."
04.02.70,הרשות לפיתוח כלכלי של,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"פיתוח כלכלי, ייתכן שיכיל הוצאות רלוונטיות."
04.02.71,לשכת השר אבישי ברוורמן,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.72,לשכת השר יעקב מרג'י,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.73,לשכת השר בני בגין,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.74,לשכת סגן השר איוב קרא,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת סגן שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.75,לשכת השר יוסי פלד,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.76,לשכת השרה גילה גמליאל,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שרה, ייתכן שיכיל הוצאות רלוונטיות."
04.02.77,משרד ההסברה והתפוצות,משרד ראש הממשלה,ראשות הממשלה,drop,"משרד הסברה ותפוצות, לא קשור לאנרגיה מתחדשת."
04.02.78,לשכת השר משולם נהרי,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.79,לשכת השר מיכאל איתן,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.80,לשכת השר לענייני,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.02.81,המשרד לענייני גמלאים,משרד ראש הממשלה,ראשות הממשלה,drop,"ענייני גמלאים, לא קשור לאנרגיה מתחדשת."
04.02.82,המשרד לעניינים,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.02.83,המשרד לענייני מודיעין,משרד ראש הממשלה,ראשות הממשלה,drop,"ענייני מודיעין, לא קשור לאנרגיה מתחדשת."
04.02.84,יחידת שירות הלקוחות,משרד ראש הממשלה,ראשות הממשלה,drop,"שירות לקוחות, לא קשור לאנרגיה מתחדשת."
04.02.85,הוועדה לבדיקת תחליפי,משרד ראש הממשלה,ראשות הממשלה,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.04.01,רזרבה למשרד ראש הממשלה,משרד ראש הממשלה,רזרבה לסעיף ראש הממשלה,ambiguous,"רזרבה כללית, ייתכן שיכיל הוצאות רלוונטיות."
04.07.01,רזרבה להתיקרויות,משרד ראש הממשלה,רזרבה להתייקרויות,ambiguous,"רזרבה כללית, ייתכן שיכיל הוצאות רלוונטיות."
04.51.01,מטה המשרד,משרד ראש הממשלה,משרד ראשי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.51.02,מרכז ההסברה,משרד ראש הממשלה,משרד ראשי,drop,"מרכז הסברה, לא קשור לאנרגיה מתחדשת."
04.51.03,מערך הגיור,משרד ראש הממשלה,משרד ראשי,drop,"עוסק בגיור, לא קשור לאנרגיה מתחדשת."
04.51.04,תמיכות בארגוני הנצחה,משרד ראש הממשלה,משרד ראשי,drop,"תמיכות בארגוני הנצחה, לא קשור לאנרגיה מתחדשת."
04.51.05,הרשות לקידום מעמד האשה,משרד ראש הממשלה,משרד ראשי,drop,"קידום מעמד האישה, לא קשור לאנרגיה מתחדשת."
04.51.06,הרשות לפיתוח כלכלי של,משרד ראש הממשלה,משרד ראשי,ambiguous,"פיתוח כלכלי, ייתכן שיכיל הוצאות רלוונטיות."
04.51.07,ארכיון המדינה,משרד ראש הממשלה,משרד ראשי,drop,"עוסק בארכיון המדינה, לא קשור לאנרגיה מתחדשת."
04.51.08,מערך הסייבר הלאומי,משרד ראש הממשלה,משרד ראשי,drop,"עוסק בסייבר, לא קשור לאנרגיה מתחדשת."
04.51.09,הוועדה הבינמשרדית,משרד ראש הממשלה,משרד ראשי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.51.10,פרויקטים והחלטות ממשלה,משרד ראש הממשלה,משרד ראשי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.51.11,לשכת העיתונות הממשלתית,משרד ראש הממשלה,משרד ראשי,drop,"לשכת עיתונות ממשלתית, לא קשור לאנרגיה מתחדשת."
04.51.12,המטה להסדרת התיישבות,משרד ראש הממשלה,משרד ראשי,drop,"הסדרת התיישבות, לא קשור לאנרגיה מתחדשת."
04.51.13,מרכז ההסברה,משרד ראש הממשלה,משרד ראשי,drop,"מרכז הסברה, לא קשור לאנרגיה מתחדשת."
04.51.14,מטה ישראל דיגיטאלית,משרד ראש הממשלה,משרד ראשי,drop,"מטה ישראל דיגיטלית, לא קשור לאנרגיה מתחדשת."
04.51.15,מטה התקשוב הממשלתי,משרד ראש הממשלה,משרד ראשי,drop,"מטה תקשוב ממשלתי, לא קשור לאנרגיה מתחדשת."
04.52.01,חברי הממשלה,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.52.02,המשרד לשוויון חברתי,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"שוויון חברתי, לא קשור לאנרגיה מתחדשת."
04.52.03,משרד התפוצות,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"משרד התפוצות, לא קשור לאנרגיה מתחדשת."
04.52.04,המשרד לנושאים אסטרטגים,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,ambiguous,"נושאים אסטרטגיים, ייתכן שיכיל הוצאות רלוונטיות."
04.52.05,המשרד למודיעין,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"משרד למודיעין, לא קשור לאנרגיה מתחדשת."
04.52.06,משרד ההסברה,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"משרד הסברה, לא קשור לאנרגיה מתחדשת."
04.52.07,לשכת השר יוסי פלד,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.52.08,לשכת השר משולם נהרי,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,ambiguous,"לשכת שר, ייתכן שיכיל הוצאות רלוונטיות."
04.52.09,לשכות שרים וסגני שרים,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.52.10,לשכת סגן השר איוב קרא,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,ambiguous,"לשכת סגן שר, ייתכן שיכיל הוצאות רלוונטיות."
04.52.11,משרד ירושלים ומסורת,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"ירושלים ומסורת, לא קשור לאנרגיה מתחדשת."
04.52.12,משרד מורשת,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"משרד מורשת, לא קשור לאנרגיה מתחדשת."
04.52.13,משרד ההתיישבות,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"משרד ההתיישבות, לא קשור לאנרגיה מתחדשת."
04.52.14,המשרד לחיזוק וקידום,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.52.15,מערך הדיגיטל הלאומי,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"מערך דיגיטל לאומי, לא קשור לאנרגיה מתחדשת."
04.52.16,"משרד רה""מ חליפי",משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,ambiguous,"משרד רה""מ חליפי, ייתכן שיכיל הוצאות רלוונטיות."
04.52.17,מטה לבינה מלאכותית,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"מטה בינה מלאכותית, לא קשור לאנרגיה מתחדשת."
04.52.20,לשכת ראש הממשלה לשעבר,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"לשכת ראש ממשלה לשעבר, לא קשור לאנרגיה מתחדשת."
04.52.21,לשכת ראש הממשלה לשעבר,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"לשכת ראש ממשלה לשעבר, לא קשור לאנרגיה מתחדשת."
04.52.22,לשכת ראש הממשלה לשעבר,משרד ראש הממשלה,משרדי ממשלה ולשכות שרים,drop,"לשכת ראש ממשלה לשעבר, לא קשור לאנרגיה מתחדשת."
04.70.01,רזרבה לעמידה במגבלה,משרד ראש הממשלה,רזרבות,ambiguous,"רזרבה כללית, ייתכן שיכיל הוצאות רלוונטיות."
04.99.99,חשבון מעבר,משרד ראש הממשלה,חשבון מעבר,ambiguous,"חשבון מעבר, ייתכן שיכיל הוצאות רלוונטיות."
05.01.01,משרד ראשי,משרד האוצר,תחום פעולה כללי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
05.01.02,אמרכלות,משרד האוצר,תחום פעולה כללי,ambiguous,Generic administrative title
05.01.04,טפול בפצויים אישיים,משרד האוצר,תחום פעולה כללי,drop,"Personal compensation, unrelated"
05.01.05,גמלאות,משרד האוצר,תחום פעולה כללי,drop,"Pensions, unrelated"
05.01.11,אגף נכסי נפקדים,משרד האוצר,תחום פעולה כללי,drop,"Absentees' property, unrelated"
05.01.12,לשכת סגן השר יצחק כהן,משרד האוצר,תחום פעולה כללי,ambiguous,"Minister's office, generic"
05.01.14,יחידת שיפור השירות,משרד האוצר,תחום פעולה כללי,drop,"Service improvement, unrelated"
05.02.01,אגף התקציבים,משרד האוצר,שירותי מטה ממשלתיים,ambiguous,"Budget department, generic"
05.02.04,אגף החשב הכללי,משרד האוצר,שירותי מטה ממשלתיים,ambiguous,"Accountant General, generic"
05.02.05,פיקוח על בצוע תקציב,משרד האוצר,שירותי מטה ממשלתיים,drop,"Budget execution oversight, unrelated"
05.02.06,ניהול הלוואות המדינה,משרד האוצר,שירותי מטה ממשלתיים,drop,"State loan management, unrelated"
05.02.07,רשות התקשוב הממשלתית,משרד האוצר,שירותי מטה ממשלתיים,drop,"Government IT authority, unrelated"
05.02.08,מנהל הדיור הממשלתי,משרד האוצר,שירותי מטה ממשלתיים,drop,"Government housing, unrelated"
05.02.09,פיקוח על המשק הממשלתי,משרד האוצר,שירותי מטה ממשלתיים,drop,"Government economy oversight, unrelated"
05.02.10,מערכות מידע ומיכון,משרד האוצר,שירותי מטה ממשלתיים,drop,"Information systems, unrelated"
05.02.11,"אמרכלות חשכ""ל",משרד האוצר,שירותי מטה ממשלתיים,ambiguous,"Accountant General administration, generic"
05.02.12,"שירותים כלכליים בארה""ב",משרד האוצר,שירותי מטה ממשלתיים,drop,"Economic services in USA, unrelated"
05.02.13,ממשל זמין,משרד האוצר,שירותי מטה ממשלתיים,drop,"E-government, unrelated"
05.02.14,חברת ענבל,משרד האוצר,שירותי מטה ממשלתיים,drop,"Inbal company, unrelated"
05.02.15,המשרד בוושינגטון,משרד האוצר,שירותי מטה ממשלתיים,drop,"Washington office, unrelated"
05.02.16,ביקורת פנימית,משרד האוצר,שירותי מטה ממשלתיים,drop,"Internal audit, unrelated"
05.02.17,מנהל הרכש,משרד האוצר,שירותי מטה ממשלתיים,drop,"Procurement administration, unrelated"
05.02.18,רשות החברות הממשלתיות,משרד האוצר,שרותי מטה ממשלתיים,drop,"Government companies authority, unrelated"
05.02.31,אגף שכר והסכמי עבודה,משרד האוצר,שירותי מטה ממשלתיים,drop,"Wages and labor agreements, unrelated"
05.02.33,מעקב לתקציבי פיתוח,משרד האוצר,שירותי מטה ממשלתיים,drop,"Development budget tracking, unrelated"
05.03.06,"אגף לקשרים בינ""ל",משרד האוצר,שירותי מטה כלל משקיים,drop,"International relations, unrelated"
05.03.07,משרד בניו יורק,משרד האוצר,שירותי מטה כלל משקיים,drop,"New York office, unrelated"
05.03.08,המשרד בלוס אנג'לס,משרד האוצר,שירותי מטה כלל משקיים,drop,"Los Angeles office, unrelated"
05.03.09,המשרד בשיקגו,משרד האוצר,שרותי מטה כלל משקיים,drop,"Chicago office, unrelated"
05.03.10,נציגות ב-OECD פריז,משרד האוצר,שירותי מטה כלל משקיים,drop,"OECD representation, unrelated"
05.03.11,נציגות בון,משרד האוצר,שירותי מטה כלל משקיים,drop,"Bonn representation, unrelated"
05.03.12,נציגות לונדון,משרד האוצר,שירותי מטה כלל משקיים,drop,"London representation, unrelated"
05.03.14,רזרבות,משרד האוצר,שרותי מטה כלל משקיים,ambiguous,"Reserves, generic"
05.03.15,השתתפויות,משרד האוצר,שרותי מטה כלל משקיים,ambiguous,"Participations, generic"
05.03.16,מינהל הכנסות המדינה,משרד האוצר,שירותי מטה כלל משקיים,drop,"State revenue administration, unrelated"
