code,title,office,domain,verdict,reason
20.21.02,פעולות לשכת הדובר,משרד החינוך,יחידות מטה,drop,"פעולות מטה אדמיניסטרטיביות, לא חינוך מחוננים."
20.21.03,פעולות החשב,משרד החינוך,יחידות מטה,drop,"פעולות מטה אדמיניסטרטיביות, לא חינוך מחוננים."
20.21.04,פרסי ישראל,משרד החינוך,יחידות מטה,drop,"פרסים ספציפיים, לא תכנית מחוננים כללית."
20.21.05,מיכון,משרד החינוך,יחידות מטה,drop,"עוסק במיכון, לא בחינוך מחוננים."
20.21.06,ארגוני הורים,משרד החינוך,יחידות מטה,ambiguous,"תמיכה כללית בארגוני הורים, ייתכן קשור."
20.21.07,מחקרים וסטטיסטיקה,משרד החינוך,יחידות מטה,ambiguous,ייתכן כולל מחקר על חינוך מחוננים.
20.21.08,קשרי חוץ,משרד החינוך,יחידות מטה,drop,"עוסק בקשרי חוץ, לא בחינוך מחוננים."
20.21.09,התאמת מערכת החינוך,משרד החינוך,יחידות מטה,ambiguous,ייתכן כולל התאמה לצרכי מחוננים.
20.21.10,פעולות ויוזמות בחינוך,משרד החינוך והתרבות,יחידות מטה,ambiguous,"כותרת כללית, ייתכן כולל יוזמות למחוננים."
20.21.11,אגף החינוך הדתי,משרד החינוך,יחידות מטה,ambiguous,"אגף ספציפי, ייתכן כולל פעילות למחוננים."
20.21.12,פעולות ויוזמות במערכת,משרד החינוך,יחידות מטה,ambiguous,"כותרת כללית, ייתכן כולל יוזמות למחוננים."
20.21.13,רזרבה לפעולות שונות,משרד החינוך,יחידות מטה,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
20.21.14,הקצבות לחינוך ותרבות,משרד החינוך,יחידות מטה,ambiguous,"הקצבות כלליות לחינוך, ייתכן כולל מחוננים."
20.21.15,פעולות הסברה באירועים,משרד החינוך,יחידות מטה,drop,"פעולות הסברה, לא תכנית מחוננים."
20.21.16,הרשות הארצית למדידה,משרד החינוך,יחידות מטה,ambiguous,ייתכן כולל מדידה והערכה למחוננים.
20.21.17,פעולות בשיתוף משרד,משרד החינוך,יחידות מטה,ambiguous,"כותרת כללית, ייתכן כולל שיתופי פעולה."
20.21.20,רזרבה להתייקרויות,משרד החינוך,יחידות מטה,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
20.21.21,רזרבה לשכר,משרד החינוך,יחידות מטה,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
20.22.01,עובדי משרד,משרד החינוך,אמרכלות ועובדי משרד,drop,"עובדי משרד אדמיניסטרטיביים, לא חינוך מחוננים."
20.22.03,השתלמות והדרכה,משרד החינוך,אמרכלות ועובדי משרד,ambiguous,ייתכן כולל השתלמות למורים למחוננים.
20.22.04,אחזקת המשרד,משרד החינוך,אמרכלות ועובדי משרד,drop,"אחזקת משרד אדמיניסטרטיבית, לא חינוך מחוננים."
20.22.05,פרסומים,משרד החינוך והתרבות,אמרכלות ועובדי משרד,ambiguous,ייתכן כולל פרסומים על חינוך מחוננים.
20.22.06,ביטחון ובטיחות במוסדות,משרד החינוך,אמרכלות ועובדי משרד,drop,"עוסק בביטחון ובטיחות, לא חינוך מחוננים."
20.22.07,ביטוח תלמידים ורכוש,משרד החינוך והתרבות,אמרכלות ועובדי משרד,drop,"עוסק בביטוח, לא בחינוך מחוננים."
20.23.01,תנאי שרות,משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל תנאי שירות למורים למחוננים.
20.23.02,פעולות מיוחדות למורים,משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל פעולות למורים למחוננים.
20.23.03,תמריצים למורים,משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל תמריצים למורים למחוננים.
20.23.04,חינוכאים ברשויות,משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל חינוכאים העוסקים במחוננים.
20.23.05,מוסדות להכשרת מורים,משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל הכשרת מורים למחוננים.
20.23.06,הלוואות מותנות לתלמידי,משרד החינוך,מינהל מורים,ambiguous,"כותרת חסרה, ייתכן קשור לתלמידים."
20.23.07,מרכזים פדגוגיים,משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל תמיכה במרכזים למחוננים.
20.23.08,השתלמות מורים וגננות,משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל השתלמות למורים למחוננים.
20.23.09,"קורסים וימי עיון לעו""ה",משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל קורסים למורים למחוננים.
20.23.10,קרנות ומענקי השתלמות,משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל מענקי השתלמות למורים למחוננים.
20.23.11,פיתוח מנהיגות בית,משרד החינוך,מינהל מורים,ambiguous,ייתכן כולל פיתוח מנהיגות לחינוך מחוננים.
20.24.01,תכניות לקידום החינוך,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,"כותרת כללית, ייתכן כולל קידום מחוננים."
20.24.02,שירותי חינוך ורווחה,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל שירותים לתלמידים מחוננים.
20.24.03,השתלמות בית ספרית,משרד החינוך והתרבות,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל השתלמות למורים למחוננים.
20.24.04,מענק ירושלים הבירה,משרד החינוך,מינהל פדגוגי-כללי,drop,"מענק גיאוגרפי ספציפי, לא חינוך מחוננים."
20.24.05,הוראת המקצועות תוכניות,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל תוכניות לימוד למחוננים.
20.24.06,פעולות בחינוך הדרוזי,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל פעולות למחוננים בחינוך הדרוזי.
20.24.07,פעולות בחינוך הערבי,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל פעולות למחוננים בחינוך הערבי.
20.24.08,שירות פסיכולוגי,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל אבחון פסיכולוגי למחוננים.
20.24.09,חינוך יהודי בתפוצות,משרד החינוך,מינהל פדגוגי-כללי,drop,"עוסק בחינוך בתפוצות, לא בישראל."
20.24.10,תמיכות מיוחדות,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,"כותרת כללית, ייתכן כולל תמיכה למחוננים."
20.24.11,כח עזר פדגוגי,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל כוח עזר לחינוך מחוננים.
20.24.12,"מתנס""ים",משרד החינוך,מינהל פדגוגי-כללי,ambiguous,"ייתכן כולל פעילויות למחוננים במתנ""סים."
20.24.13,מורשת יהדות ספרד,משרד החינוך והתרבות,מינהל פדגוגי-כללי,drop,"עוסק במורשת, לא בחינוך מחוננים."
20.24.14,חינוך לא פורמאלי,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל תכניות העשרה למחוננים.
20.24.16,חינוך מבוגרים,משרד החינוך,מינהל פדגוגי-כללי,drop,"עוסק בחינוך מבוגרים, לא בילדים מחוננים."
20.24.17,תוכניות ויוזמות,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,"כותרת כללית, ייתכן כולל יוזמות למחוננים."
20.24.18,חינוך לדמוקרטיה ויהדות,משרד החינוך,מינהל פדגוגי-כללי,drop,"עוסק בחינוך ערכי, לא בחינוך מחוננים."
20.24.19,המזכירות הפדגוגית,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל פיקוח פדגוגי על מחוננים.
20.24.20,הטמעת הרפורמה במערכת,משרד החינוך,מינהל פדגוגי-כללי,ambiguous,ייתכן כולל רפורמות הקשורות למחוננים.
20.30.03,ישובים נתמכים,משרד החינוך,הסעות הצטיידות ופיתוח,drop,"תמיכה כללית ביישובים, לא חינוך מחוננים."
20.30.04,ייעוץ ופיקוח על הבניה,משרד החינוך,הסעות הצטיידות ופיתוח,drop,"עוסק בבנייה, לא בחינוך מחוננים."
20.30.05,הסעת תלמידים,משרד החינוך,הסעות הצטיידות ופיתוח,ambiguous,ייתכן כולל הסעות למרכזי מחוננים.
20.30.06,הסעות מורים לבתי ספר,משרד החינוך,הסעות הצטיידות ופיתוח,ambiguous,ייתכן כולל הסעות למורים למחוננים.
20.30.07,בתי ספר חקלאיים,משרד החינוך,הסעות הצטיידות ופיתוח,drop,"עוסק בבתי ספר חקלאיים, לא חינוך מחוננים."
20.30.08,מוסדות להכשרת  עובדי,משרד החינוך והתרבות,הסעות הצטיידות ופיתוח,ambiguous,"כותרת חסרה, ייתכן קשור להכשרה."
20.30.09,פיתוח לטלויזיה הלימודית,משרד החינוך,הסעות הצטיידות ופיתוח,ambiguous,ייתכן כולל תוכן למחוננים בטלוויזיה הלימודית.
20.30.10,העברה לתקציב פיתוח,משרד החינוך והתרבות,הסעות הצטיידות ופיתוח,ambiguous,העברה כללית לתקציב פיתוח.
20.30.11,מענקים לפיתוח מבני,משרד החינוך,הסעות הצטיידות ופיתוח,drop,"עוסק בפיתוח מבנים, לא בחינוך מחוננים."
20.30.12,תכנון מבני חינוך,משרד החינוך והתרבות,הסעות הצטיידות ופיתוח,drop,"עוסק בתכנון מבנים, לא בחינוך מחוננים."
20.30.13,שיפוץ מבני חינוך,משרד החינוך,הסעות הצטיידות ופיתוח,drop,"עוסק בשיפוץ מבנים, לא בחינוך מחוננים."
20.30.14,פרויקטים במיכון,משרד החינוך התרבות,הסעות הצטיידות ופיתוח,drop,"עוסק במיכון, לא בחינוך מחוננים."
20.30.15,"שיפוצים והצטיידות בבי""ס",משרד החינוך,הסעות הצטיידות ופיתוח,drop,"עוסק בשיפוץ והצטיידות, לא חינוך מחוננים."
20.40.01,מטה המשרד,משרד החינוך,מטה המשרד,ambiguous,"כותרת כללית, ייתכן כולל פעילות מטה."
20.40.02,פעולות מטה מרכזיות,משרד החינוך,מטה המשרד,ambiguous,"כותרת כללית, ייתכן כולל פעילות מטה."
20.40.03,תפעול ואחזקת המשרד,משרד החינוך,מטה המשרד,drop,"תפעול ואחזקת משרד, לא חינוך מחוננים."
20.41.01,חינוך מיוחד,משרד החינוך,חינוך מיוחד,ambiguous,"ייתכן קשור לצרכים מיוחדים, כולל מחוננים."
20.46.01,קידום ילדים ונוער,משרד החינוך,תכניות חינוכיות משלימות,ambiguous,"כותרת כללית, ייתכן כולל קידום מחוננים."
20.46.02,פעילויות ופרויקטים,משרד החינוך,תכניות חינוכיות משלימות,ambiguous,"כותרת כללית, ייתכן כולל פרויקטים למחוננים."
20.46.03,שירות פסיכולוגי-חינוכי,משרד החינוך,תכניות חינוכיות משלימות,ambiguous,ייתכן כולל אבחון ותמיכה פסיכולוגית למחוננים.
20.46.04,חינוך בלתי פורמאלי,משרד החינוך,תכניות חינוכיות משלימות,ambiguous,ייתכן כולל תכניות העשרה למחוננים.
20.46.05,הארכת יום הלימודים,משרד החינוך,תכניות חינוכיות משלימות,ambiguous,ייתכן כולל תכניות העשרה למחוננים.
20.46.06,"תקשוב,טכנולוגיה ומדעים",משרד החינוך,תכניות חינוכיות משלימות,ambiguous,ייתכן כולל תכניות העשרה במדעים למחוננים.
20.46.07,תכניות מחוננים,משרד החינוך,תכניות חינוכיות משלימות,keep,תואם ישירות לנושא: תכניות מחוננים.
20.46.08,חינוך מבוגרים,משרד החינוך,תכניות חינוכיות משלימות,drop,"עוסק בחינוך מבוגרים, לא בילדים מחוננים."
20.47.01,הכשרה וקידום מקצועי של,משרד החינוך,מינהל עובדי הוראה,ambiguous,"כותרת חסרה, ייתכן כולל הכשרה למורים למחוננים."
20.47.02,תנאי שירות של עובדי,משרד החינוך,מינהל עובדי הוראה,ambiguous,"כותרת חסרה, ייתכן כולל תנאי שירות למורים למחוננים."
20.51.01,רזרבה להתייקרויות,משרד החינוך,רזרבות,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
20.51.02,רזרבה לעמידה במגבלה,משרד החינוך,רזרבות,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
20.60.01,פעילויות מטה מרכזיות -,משרד החינוך,יחידות מטה,ambiguous,"כותרת חסרה וכללית, ייתכן קשור."
20.60.02,המשרד להשכלה גבוהה,משרד החינוך,יחידות מטה,drop,"עוסק בהשכלה גבוהה, לא בחינוך מחוננים."
20.60.03,הרשות הארצית למדידה,משרד החינוך,יחידות מטה,ambiguous,ייתכן כולל מדידה והערכה למחוננים.
20.61.01,חינוך מיוחד,משרד החינוך,חינוך מיוחד,ambiguous,"ייתכן קשור לצרכים מיוחדים, כולל מחוננים."
20.67.01,פעילויות ופרוייקטים,משרד החינוך,פעולות משלימות לקידום,ambiguous,"כותרת כללית, ייתכן כולל פרויקטים למחוננים."
20.67.02,הארכת יום הלימודים,משרד החינוך,פעולות משלימות לקידום,ambiguous,ייתכן כולל תכניות העשרה למחוננים.
20.67.03,מינהל החינוך הדתי,משרד החינוך,פעולות משלימות לקידום,ambiguous,ייתכן כולל פעולות למחוננים בחינוך הדתי.
20.68.01,תנאי שירות והכשרת,משרד החינוך,מינהל עובדי הוראה,ambiguous,"כותרת חסרה, ייתכן כולל הכשרה למורים למחוננים."
20.70.01,רזרבה להתייקרויות,משרד החינוך,רזרבות,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
20.70.02,רזרבה לעמידה במגבלה,משרד החינוך,רזרבות,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
20.99.99,חשבון מעבר,משרד החינוך,חשבון מעבר,drop,"חשבון מעבר אדמיניסטרטיבי, לא חינוך מחוננים."
60.02.10,בניית כיתות לימוד,חינוך,תכנית פיתוח חינוך,drop,"עוסק בבניית כיתות, לא בחינוך מחוננים."
60.02.12,בניית אולמות ספורט בבתי,חינוך,תכנית פיתוח חינוך,drop,"עוסק בבניית אולמות ספורט, לא חינוך מחוננים."
60.02.15,תשתיות היקפיות למבני,חינוך,תכנית פיתוח חינוך,drop,"עוסק בתשתיות מבנים, לא בחינוך מחוננים."
60.04.01,רזרבה להתייקרויות,חינוך,רזרבה להתייקרויות,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
60.08.01,רזרבה לעמידה ביעדים,חינוך,רזרבה,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
60.09.01,רזרבה ליישום מסקנות כח,חינוך,רזרבה ליישום מסקנות כח,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
