code,title,office,program,economic_class_primary,counts_in_total,item_url
04.01.17.11,העצמת תשתיות מורשת לאומית - הרשאה להתחייב,משרד ראש הממשלה,העצמת תשתיות מורשת,קניות,yes,https://next.obudget.org/i/fca2b576d2e8
04.01.17.12,השתתפות המשרד להגנת הסביבה,משרד ראש הממשלה,העצמת תשתיות מורשת,העברות  פנים תקציביות,no,https://next.obudget.org/i/e29ad851f59c
04.01.17.13,השתתפות במשרד התרבות,משרד ראש הממשלה,העצמת תשתיות מורשת,העברות  פנים תקציביות,no,https://next.obudget.org/i/94f79e5308d3
04.01.17.14,השתתפות במשרד החינוך,משרד ראש הממשלה,העצמת תשתיות מורשת,העברות  פנים תקציביות,no,https://next.obudget.org/i/ef3b96e9260b
04.01.17.15,השתתפות משרד הביטחון בהעצמת תשתיות מורשת,משרד ראש הממשלה,העצמת תשתיות מורשת,העברות  פנים תקציביות,no,https://next.obudget.org/i/a57556afedc7
04.01.17.20,השתתפות במשרד הבטחון,משרד ראש הממשלה,העצמת תשתיות מורשת,העברות  פנים תקציביות,no,https://next.obudget.org/i/ecd06a4ec095
04.01.20.01,"שכר דייני גיור, בלניות וראשי טבילה",משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/7c3474d631d5
04.01.20.02,שיא כוח אדם,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/aae4739489e2
04.01.20.03,תפעול,משרד ראש הממשלה,מערך הגיור,קניות,yes,https://next.obudget.org/i/cb9eb7adf724
04.01.20.04,עבודה בלתי צמיתה,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/5efa68da48f5
04.01.20.05,שעות נוספות,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/7dfb38cd1c1b
04.01.20.06,החזר הוצאות רכב,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/819811a69eb5
04.01.20.07,אחזקה,משרד ראש הממשלה,מערך הגיור,קניות,yes,https://next.obudget.org/i/954ad723fc19
04.01.20.08,שכר דירה,משרד ראש הממשלה,מערך הגיור,העברות  פנים תקציביות,no,https://next.obudget.org/i/bbe38a0d7321
04.01.20.09,שעות העסקה - דייני גיור,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/884e76aafe58
04.01.20.10,דלק לרכב ממשלתי,משרד ראש הממשלה,מערך הגיור,קניות,yes,https://next.obudget.org/i/d2bad313600a
04.01.20.11,אחזקת רכב ממשלתי,משרד ראש הממשלה,מערך הגיור,העברות  פנים תקציביות,no,https://next.obudget.org/i/1874001705a8
04.01.20.12,מיכון,משרד ראש הממשלה,מערך הגיור,קניות,yes,https://next.obudget.org/i/504a1e837d70
04.01.20.13,השתתפות בהוצאות בתי הדין הרבניים,משרד ראש הממשלה,מערך הגיור,העברות  פנים תקציביות,no,https://next.obudget.org/i/21ebd8ca6dbe
04.01.20.14,פעולות מערך הגיור,משרד ראש הממשלה,מערך הגיור,קניות,yes,https://next.obudget.org/i/0409016100a6
04.01.20.15,גיור קטינים,משרד ראש הממשלה,מערך הגיור,קניות,yes,https://next.obudget.org/i/438310eec648
04.01.20.16,רווחה,משרד ראש הממשלה,מערך הגיור,קניות,yes,https://next.obudget.org/i/b0933f9a4226
04.01.20.17,שכר עידוד,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/9fe207c347c6
04.01.20.18,עלויות פרישה,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/086922a7215e
04.01.20.19,שכר בלניות וראשי צוותים,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/3e3a592d772a
04.01.20.20,רזרבה - מערך הגיור,משרד ראש הממשלה,מערך הגיור,קניות,yes,https://next.obudget.org/i/af82919305f3
04.01.20.21,השתתפות בנתיב,משרד ראש הממשלה,מערך הגיור,העברות  פנים תקציביות,no,https://next.obudget.org/i/75339d38e88c
04.01.20.22,העסקת סטודנטים,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/6b1d134c1ffd
04.01.20.23,השתתפות בלשכת הפרסום הממשלתית,משרד ראש הממשלה,מערך הגיור,העברות  פנים תקציביות,no,https://next.obudget.org/i/5b4645eb2415
04.01.20.24,"ייעוץ, פרוייקטים וקניית שירותי כ""א",משרד ראש הממשלה,מערך הגיור,קניות,yes,https://next.obudget.org/i/3a27efe48e16
04.01.20.25,פעולות הכנה לגיור,משרד ראש הממשלה,מערך הגיור,העברות,yes,https://next.obudget.org/i/1121ff249e23
04.01.20.26,השתתפות במשרד הבטחון,משרד ראש הממשלה,מערך הגיור,העברות  פנים תקציביות,no,https://next.obudget.org/i/45a392d7edc8
04.01.20.30,כוננויות,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/b50ae22c9928
04.01.20.31,כוננויות,משרד ראש הממשלה,מערך הגיור,שכר,yes,https://next.obudget.org/i/1bb839352df3
04.01.31.08,המכון למורשת בן- גוריון,משרד ראש הממשלה,ארכיון המדינה,העברות,yes,https://next.obudget.org/i/dd54ea124d17
04.01.31.16,שיקום צילומי משפט אייכמן,משרד ראש הממשלה,ארכיון המדינה,קניות,yes,https://next.obudget.org/i/64cc01843aab
04.01.62.91,קדמת - חינוך יהודי לדור הבא,משרד ראש הממשלה,השתתפות האפוטרופוס כללי,קניות,yes,https://next.obudget.org/i/67d48d34c367
04.01.63.10,מכללה ליהדות פלורליסטית,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/e1cc50bf6d68
04.01.63.12,ח.ל.צ - חינוך לאומי ציוני,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/e81cd26e544e
04.01.63.28,מכון להמחשה תורנית,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/9d824dfdeb84
04.01.63.32,מכון ירושלים להשכלה,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/255d76b9157e
04.01.64.39,ערכים - אגודה להפצת התודעה היהודית,משרד ראש הממשלה,השתתפות אפוטרופוס,קניות,yes,https://next.obudget.org/i/15905c4b3761
04.01.80.01,מורשת משה שרת,משרד  ראש הממשלה,מורשת משה שרת,קניות,yes,https://next.obudget.org/i/2defd9660064
04.01.80.02,השתתפות האפוטרופוס,משרד ראש הממשלה,מורשת משה שרת,העברות  פנים תקציביות,no,https://next.obudget.org/i/60bbb641a07d
04.01.84.01,מוזיאון בית השומר,משרד ראש הממשלה,מוזיאון בית השומר,קניות,yes,https://next.obudget.org/i/6f6b391c5ca5
04.01.84.02,השתתפות אפוטרופוס,משרד ראש הממשלה,מוזיאון בית השומר,העברות  פנים תקציביות,no,https://next.obudget.org/i/017532a179c9
04.01.85.01,נתיב - הוראת עברית,משרד ראש הממשלה,נתיב - הוראת עברית,קניות,yes,https://next.obudget.org/i/196fd5ca5ee2
04.01.85.02,השתתפות אפוטרופוס,משרד ראש הממשלה,נתיב - הוראת עברית,העברות  פנים תקציביות,no,https://next.obudget.org/i/883667a04c60
04.01.87.01,מעקב אחר אנטשמיות,משרד ראש הממשלה,מעקב אחר אנטישמיות,קניות,yes,https://next.obudget.org/i/cec9f1044775
04.01.87.02,השתתפות האפוטרופוס,משרד ראש הממשלה,מעקב אחר אנטישמיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/479c9ba6c9a1
04.01.87.03,השת' במרכז הסברה,משרד ראש הממשלה,מעקב אחר אנטישמיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/04e43e4764ff
04.01.88.01,מרכז שזר,משרד ראש הממשלה,מרכז שזר,קניות,yes,https://next.obudget.org/i/bdfa7f078664
04.01.88.02,השתתפות אפוטרופוס,משרד ראש הממשלה,מרכז שזר,העברות  פנים תקציביות,no,https://next.obudget.org/i/dcbc5eb4c55e
04.01.89.01,בית מדרש ללימודי יהדות,משרד ראש הממשלה,בית מדרש ללימודי יהדות,העברות,yes,https://next.obudget.org/i/84859d7376ef
04.01.89.02,השתת' אפוטרופוס,משרד ראש הממשלה,בית מדרש ללימודי יהדות,העברות  פנים תקציביות,no,https://next.obudget.org/i/7ea81b926d5e
04.01.91.01,יד יצחק בן צבי,משרד ראש הממשלה,יד יצחק בן צבי,קניות,yes,https://next.obudget.org/i/1f88f9b589a2
04.01.91.02,השתתפות אפוטרופוס הכללי,משרד ראש הממשלה,יד יצחק בן צבי,העברות  פנים תקציביות,no,https://next.obudget.org/i/b73708c11431
04.02.11.11,תגמול למסייעים בעליה,משרד ראש הממשלה,לשכת ראש הממשלה,קניות,yes,https://next.obudget.org/i/bbb5b43aaf0d
04.02.11.14,תגמול למסייעים בעליה,משרד ראש הממשלה,לשכת ראש הממשלה,העברות,yes,https://next.obudget.org/i/569f1447c0ca
04.02.26.01,פעולות,משרד ראש הממשלה,חטיבת תפוצות,קניות,yes,https://next.obudget.org/i/8801a545d95c
04.02.26.02,"נסיעות לחו""ל",משרד ראש הממשלה,חטיבת תפוצות,קניות,yes,https://next.obudget.org/i/388685765f78
04.02.26.03,ייעוץ,משרד ראש הממשלה,חטיבת תפוצות,קניות,yes,https://next.obudget.org/i/78ea5b1ce944
04.02.26.04,"פרוייקט ""זכות מלידה""",משרד ראש הממשלה,חטיבת תפוצות,העברות,yes,https://next.obudget.org/i/fd5eda166919
04.02.26.05,השת' משרד הקליטה,משרד ראש הממשלה,חטיבת תפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/dfe4656abc74
04.02.28.01,רזרבה לחינוך יהודי בתפוצות,משרד ראש הממשלה,פרוייקטים לעידוד,קניות,yes,https://next.obudget.org/i/e4095ee7ba45
04.02.28.03,חינוך יהודי בתפוצות,משרד ראש הממשלה,פרוייקטים לעידוד,העברות,yes,https://next.obudget.org/i/dd2ed76eac68
04.02.28.04,פרויקט לעידוד העליה - נפש בנפש,משרד ראש הממשלה,פרוייקטים לעידוד,העברות,yes,https://next.obudget.org/i/b2293f2a49c8
04.02.28.06,"חינוך יהודי בתפוצות - הרשאה - תשס""ט",משרד ראש הממשלה,פרוייקטים לעידוד,קניות,yes,https://next.obudget.org/i/2ed280c982b0
04.02.28.07,"חינוך יהודי בתפוצות - הרשאה - תש""ע",משרד ראש הממשלה,פרוייקטים לעידוד,קניות,yes,https://next.obudget.org/i/cf37427a9a55
04.02.28.08,"פרוייקט ""זכות מלידה""",משרד ראש הממשלה,פרוייקטים לעידוד,קניות,yes,https://next.obudget.org/i/eb7019d5e2e4
04.02.50.52,עתודה להידוק הקשרים עם התפוצות,משרד ראש הממשלה,הידוק הקשרים עם התפוצות,קניות,yes,https://next.obudget.org/i/590583b93102
04.02.52.04,פעילות המועצה,משרד ראש הממשלה,המועצה להנצחה,קניות,yes,https://next.obudget.org/i/014f9923fc40
04.02.53.01,תמיכות בארגוני הנצחה,משרד ראש הממשלה,תמיכות בארגוני הנצחה,העברות,yes,https://next.obudget.org/i/228db1e4bf8a
04.02.53.03,הנצחת זכרו של רחבעם זאבי,משרד ראש הממשלה,תמיכות בארגוני הנצחה,העברות,yes,https://next.obudget.org/i/7f22b040c751
04.02.53.04,הקמת אתר הנצחה בלטרון,משרד ראש הממשלה,תמיכות בארגוני הנצחה,העברות,yes,https://next.obudget.org/i/8786f72e73e3
04.02.53.07,השתתפות משרד החינוך,משרד ראש הממשלה,תמיכות בארגוני הנצחה,העברות  פנים תקציביות,no,https://next.obudget.org/i/57e39e18315d
04.02.53.10,מרכזי הנצחה בנימין זאב הרצל וזאב ז'בוטינסקי,משרד ראש הממשלה,תמיכות בארגוני הנצחה,קניות,yes,https://next.obudget.org/i/7f6f75bf048d
04.02.53.11,השתתפות משרד הקליטה,משרד ראש הממשלה,תמיכות בארגוני הנצחה,העברות  פנים תקציביות,no,https://next.obudget.org/i/d9b85a4ba7b9
04.02.53.15,מועצת הרצל- תמיכה,משרד ראש הממשלה,תמיכות בארגוני הנצחה,העברות,yes,https://next.obudget.org/i/5871c1e5c303
04.02.53.16,השתתפות במשרד התיירות,משרד ראש הממשלה,תמיכות בארגוני הנצחה,העברות  פנים תקציביות,no,https://next.obudget.org/i/952e6928291f
04.02.53.17,מועצת ז'בוטינסקי - תמיכה,משרד ראש הממשלה,תמיכות בארגוני הנצחה,העברות,yes,https://next.obudget.org/i/12c9a3b55045
04.02.53.18,המועצה להנצחת גוש קטיף,משרד ראש הממשלה,תמיכות בארגוני הנצחה,העברות,yes,https://next.obudget.org/i/bcdf89d8b83f
04.02.53.19,פעילות המועצה הציבורית להנצחת נשיאים וראשי ממשלות,משרד ראש הממשלה,תמיכות בארגוני הנצחה,קניות,yes,https://next.obudget.org/i/1844ac7676c8
04.02.53.20,חלקת גדולי האומה,משרד ראש הממשלה,תמיכות בארגוני הנצחה,קניות,yes,https://next.obudget.org/i/e94b64fca959
04.02.53.21,אחזקת הר הרצל,משרד ראש הממשלה,תמיכות בארגוני הנצחה,קניות,yes,https://next.obudget.org/i/ade4591b03de
04.02.53.22,הנצחת יהודי אתיופיה,משרד ראש הממשלה,תמיכות בארגוני הנצחה,קניות,yes,https://next.obudget.org/i/0bb7d6221fd0
04.02.75.20,ציון 50 שנה לפתיחת משפט אייכמן,משרד ראש הממשלה,לשכת השר יוסי פלד,קניות,yes,https://next.obudget.org/i/1baa0c1ec1cd
04.02.77.01,עבודה בלתי צמיתה,משרד ראש הממשלה,משרד ההסברה והתפוצות,שכר,yes,https://next.obudget.org/i/99ced5d0637f
04.02.77.02,שעות נוספות,משרד ראש הממשלה,משרד ההסברה והתפוצות,שכר,yes,https://next.obudget.org/i/d501e6c2f35b
04.02.77.03,החזר הוצאות רכב,משרד ראש הממשלה,משרד ההסברה והתפוצות,שכר,yes,https://next.obudget.org/i/5bbe6a18ad5c
04.02.77.04,סטודנטים,משרד ראש הממשלה,משרד ההסברה והתפוצות,שכר,yes,https://next.obudget.org/i/f9ababe1aac6
04.02.77.05,אחזקת רכב ממשלתי,משרד ראש הממשלה,חטיבת חברה ותפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/081104b03d51
04.02.77.06,דלק לרכב ממשלתי,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/db282a2b9d4a
04.02.77.07,תפעול,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/489b9e8d3f2d
04.02.77.08,דואר וטלפונים,משרד ראש הממשלה,חטיבת חברה ותפוצות,קניות,yes,https://next.obudget.org/i/ec3dc685d686
04.02.77.09,מחשוב,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/bbbac04f08d3
04.02.77.10,שכר דירה,משרד ראש הממשלה,משרד ההסברה והתפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/072dddd486b3
04.02.77.11,"נסיעות לחו""ל",משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/29b85298f442
04.02.77.12,אחזקת רכב ממשלתי,משרד ראש הממשלה,משרד ההסברה והתפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/6fae2aad1b83
04.02.77.13,אבטחה,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/91856397629d
04.02.77.21,ייעוץ - חטיבת תפוצות,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/347fe929f844
04.02.77.22,הסברה ופרסום - חטיבת תפוצות,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/2097a7295f17
04.02.77.23,"פרוייקט ""זכות מלידה""",משרד ראש הממשלה,משרד ההסברה והתפוצות,העברות,yes,https://next.obudget.org/i/cf6f707d4779
04.02.77.24,תפעול - חטיבת תפוצות,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/5b5ac01accc3
04.02.77.25,פיצוי לפי ס' 80,משרד ראש הממשלה,משרד ההסברה והתפוצות,העברות,yes,https://next.obudget.org/i/bc1fce31fde0
04.02.77.26,"רזרבה להתייקרויות לפרוייקט ""זכות מלידה""",משרד ראש הממשלה,משרד ההסברה והתפוצות,העברות,yes,https://next.obudget.org/i/494544337e9f
04.02.77.27,פרוייקט זכות מלידה - הרשאה להתחייב,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/23b7c572edb5
04.02.77.31,ייעוץ - חטיבת חברה,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/b184707789aa
04.02.77.32,תפעול - חטיבת חברה,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/ed456706db96
04.02.77.33,השתתפות משרד החינוך,משרד ראש הממשלה,לשכת סגן השר מיכאל,העברות  פנים תקציביות,no,https://next.obudget.org/i/4ecf469a488d
04.02.77.34,מאבק באנטישמיות,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/87c4275ba24d
04.02.77.35,ייעוץ משפטי,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/3ff8a9486b3b
04.02.77.36,הכנסות מגורמי חוץ,משרד ראש הממשלה,לשכת סגן השר מיכאל,הכנסות מיועדות,no,https://next.obudget.org/i/6a059504baa0
04.02.77.37,הקמת אתר הנצחה בלטרון,משרד ראש הממשלה,לשכת סגן השר מיכאל,העברות,yes,https://next.obudget.org/i/20da4ed1f340
04.02.77.38,השתתפות ממשרד הביטחון,משרד ראש הממשלה,לשכת סגן השר מיכאל,העברות  פנים תקציביות,no,https://next.obudget.org/i/80665bde85f9
04.02.77.39,השתתפות ממשרד הפנים,משרד ראש הממשלה,לשכת סגן השר מיכאל,העברות  פנים תקציביות,no,https://next.obudget.org/i/4dd60405f90b
04.02.77.40,השתתפות נציבות המים,משרד ראש הממשלה,לשכת סגן השר מיכאל,העברות  פנים תקציביות,no,https://next.obudget.org/i/c873697883bb
04.02.77.41,השתתפות משרד החינוך,משרד ראש הממשלה,לשכת סגן השר מיכאל,העברות  פנים תקציביות,no,https://next.obudget.org/i/ce93a10df8d1
04.02.77.42,השתתפות משרד התשתיות,משרד ראש הממשלה,לשכת סגן השר מיכאל,העברות  פנים תקציביות,no,https://next.obudget.org/i/1ead64420afe
04.02.77.43,השתתפות משרד השיכון,משרד ראש הממשלה,לשכת סגן השר מיכאל,העברות  פנים תקציביות,no,https://next.obudget.org/i/54a8ff321f62
04.02.77.44,רזרבה למלחמה באנטישמיות,משרד  ראש הממשלה,חטיבת חברה ותפוצות,קניות,yes,https://next.obudget.org/i/67ece2d6abe5
04.02.77.45,אירועי שישים שנה לנצחון על גרמניה הנאצית,משרד ראש הממשלה,חטיבת חברה ותפוצות,קניות,yes,https://next.obudget.org/i/ba5498c7b9ab
04.02.77.46,השתתפות במשרד החינוך,משרד  ראש הממשלה,חטיבת חברה ותפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/1b5e3b9c09fc
04.02.77.47,חיזוק הקשר עם ירושלים,משרד ראש הממשלה,חטיבת חברה ותפוצות,קניות,yes,https://next.obudget.org/i/43b288ae3a0f
04.02.77.48,השתתפות משרד החקלאות,משרד ראש הממשלה,חטיבת חברה ותפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/bb26800aea3e
04.02.77.49,השתתפות משרד הפנים,משרד  ראש הממשלה,חטיבת חברה ותפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/3da656a4be1b
04.02.77.50,השתתפות משרד האוצר,משרד ראש הממשלה,חטיבת חברה ותפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/dbaca62897bf
04.02.77.51,השתתפות משרד החינוך,משרד ראש הממשלה,חטיבת חברה ותפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/39108ee49855
04.02.77.52,השתתפות גורמי חוץ,משרד  ראש הממשלה,חטיבת חברה ותפוצות,הכנסות מיועדות,no,https://next.obudget.org/i/3acc48892966
04.02.77.53,השתתפות במשרד הביטחון - מדליות לוטרנים,משרד ראש הממשלה,חטיבת חברה ותפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/5048c19b46a7
04.02.77.54,אירוע יום ירושלים ושבועות בהשתתפות משרד החקלאות,משרד ראש הממשלה,לשכת סגן השר מיכאל,קניות,yes,https://next.obudget.org/i/8c59560f67af
04.02.77.60,פעולות הסברה ותפוצות,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/514df2a14773
04.02.77.61,השתתפות במשרד החוץ - פורום גלובאלי,משרד ראש הממשלה,משרד ההסברה והתפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/119bb1b9c783
04.02.77.62,סטודנטים,משרד ראש הממשלה,משרד ההסברה והתפוצות,שכר,yes,https://next.obudget.org/i/8e0bb24e883a
04.02.77.63,רזרבה שכר,משרד ראש הממשלה,משרד ההסברה והתפוצות,שכר,yes,https://next.obudget.org/i/16b69d0ae01a
04.02.77.65,השתתפות בנתיב,משרד ראש הממשלה,משרד ההסברה והתפוצות,העברות  פנים תקציביות,no,https://next.obudget.org/i/b1d55d8fe78f
04.02.77.80,רזרבה לפרוייקט הללויה,משרד ראש הממשלה,משרד ההסברה והתפוצות,קניות,yes,https://next.obudget.org/i/8a013c21ecbd
04.02.78.11,חברה ומורשת ישראל,משרד ראש הממשלה,לשכת השר משולם נהרי,קניות,yes,https://next.obudget.org/i/fe06cb93a195
04.02.78.12,העלאת יהודי תימן,משרד ראש הממשלה,לשכת השר משולם נהרי,קניות,yes,https://next.obudget.org/i/74e764645cf4
04.02.81.31,פעילות להשבת רכוש יהודי מתקופת השואה,משרד ראש הממשלה,המשרד לענייני גמלאים,העברות,yes,https://next.obudget.org/i/78b9e9e2dd1b
04.02.81.59,הנחלת המורשת- תמיכה בגופים,משרד ראש הממשלה,המשרד לענייני גמלאים,העברות,yes,https://next.obudget.org/i/d63813dd5b3f
04.02.81.67,סמינרים לציבור-מורשת והיסטוריה,משרד ראש הממשלה,המשרד לענייני גמלאים,העברות,yes,https://next.obudget.org/i/ce535f0e61d5
04.02.81.70,תמיכות - הנצחה,משרד ראש הממשלה,המשרד לענייני גמלאים,העברות,yes,https://next.obudget.org/i/a6518cb69301
04.04.01.12,רזרבה לרבנות ראשית,משרד ראש הממשלה,רזרבה למשרד ראש הממשלה,קניות,yes,https://next.obudget.org/i/ac4655ae761c
