code,title,level,amount_allocated,item_url
05.51.06,שכר והסכמי עבודה,3,45230000,https://next.obudget.org/i/4ddff6fb697a
05.51.07,"מחקר, כלכלה והכנסות",3,35470000,https://next.obudget.org/i/ae0b75fed636
05.51.08,"פעולות בחו""ל",3,133176000,https://next.obudget.org/i/c7a42c9539d3
05.51.09,הלשכה לפיצויים אישיים,3,0,https://next.obudget.org/i/77be6b6f4cc9
05.51.11,מנהל הדיור והרכש,3,31409000,https://next.obudget.org/i/303286adf434
05.51.12,רשות החברות הממשלתיות,3,45607000,https://next.obudget.org/i/5d6ef6d66228
05.51.13,מנהל הרכב הממשלתי,3,0,https://next.obudget.org/i/e79c55e4844c
05.52,רשות המיסים,2,3223456000,https://next.obudget.org/i/d4ec87b69405
05.52.03,רשות המיסים ראשי,3,3223456000,https://next.obudget.org/i/175c124635b6
05.53,רזרבה למשרד האוצר,2,166295000,https://next.obudget.org/i/9aa63156bf8c
05.53.01,רזרבה,3,166295000,https://next.obudget.org/i/37a89322874c
05.99,חשבון מעבר,2,0,https://next.obudget.org/i/b7996b765d22
05.99.99,חשבון מעבר,3,0,https://next.obudget.org/i/21bc174b59d2
18,הרשויות המקומיות,1,7023469000,https://next.obudget.org/i/c881034a8100
18.11,העברות לרשויות,2,6225101000,https://next.obudget.org/i/9d6215652abe
18.11.02,מענקים אזוריים,3,82698000,https://next.obudget.org/i/650b025401c9
18.11.03,מענקים שוטפים,3,5387242000,https://next.obudget.org/i/7033eeca5c78
18.11.04,מענקי פיתוח,3,694467000,https://next.obudget.org/i/25025bef5d8a
18.11.05,איגוד ערים כנרת,3,60694000,https://next.obudget.org/i/074555436d31
18.12,קרן לצמצום פערים,2,562293000,https://next.obudget.org/i/64ef9ad4a355
18.12.01,קרן לצמצום פערים,3,562293000,https://next.obudget.org/i/a85273fef0d4
18.90,רזרבות,2,236075000,https://next.obudget.org/i/0cd5c053ec83
18.90.01,רזרבה להתייקרויות +,3,236075000,https://next.obudget.org/i/86ba14f0f2e1
19,"מדע, תרבות וספורט",1,2878113000,https://next.obudget.org/i/eaeac1cae0aa
19.40,משרד המדע,2,311001000,https://next.obudget.org/i/5ffdc8aa7c00
19.40.01,פעילות משרד המדע,3,311001000,https://next.obudget.org/i/a76df935ee85
19.41,מטה המשרדים,2,199769000,https://next.obudget.org/i/20c90400b627
19.41.01,שכר,3,93328000,https://next.obudget.org/i/a3cf55b32aba
19.41.02,תפעול,3,76842000,https://next.obudget.org/i/2e74c5ad4085
19.41.03,מרכז הסברה,3,29599000,https://next.obudget.org/i/1e45e7694b78
19.42,מינהל התרבות,2,1169107000,https://next.obudget.org/i/8171369bc3fc
19.42.01,רשות העתיקות,3,57264000,https://next.obudget.org/i/f977eca8aaf6
19.42.02,מינהל התרבות,3,1111843000,https://next.obudget.org/i/f594c1539a76
19.43,מינהל הספורט,2,1088000000,https://next.obudget.org/i/acd834d936e4
19.43.03,פעילות ספורט,3,888000000,https://next.obudget.org/i/9b18f6677b06
19.43.04,תשתיות ספורט,3,200000000,https://next.obudget.org/i/62267df611ea
19.44,רזרבות פיסקאליות,2,110236000,https://next.obudget.org/i/fec666eedd02
19.44.01,רזרבות פיסקאליות,3,110236000,https://next.obudget.org/i/28d84ef9a063
19.99,חשבוןמעבר,2,0,https://next.obudget.org/i/9c8589af1c1a
19.99.99,חשבון מעבר,3,0,https://next.obudget.org/i/64ec2ef87c2b
22,המשרד לשירותי דת,1,878562000,https://next.obudget.org/i/caa3c337cd18
22.01,המשרד לשירותי דת,2,649797000,https://next.obudget.org/i/3662731e7b02
22.01.01,מועצות דתיות,3,429823000,https://next.obudget.org/i/422bff0d65de
22.01.02,תמיכה בשירותי דת,3,88489000,https://next.obudget.org/i/4c59a3aa27a9
22.01.03,בתי עלמין,3,19771000,https://next.obudget.org/i/9ed3bc4bfe0c
22.01.05,שכר ותפעול,3,62710000,https://next.obudget.org/i/e79f9926d06c
22.01.08,רזרבה,3,49004000,https://next.obudget.org/i/49dc581c530d
22.02,הרבנות הראשית,2,28713000,https://next.obudget.org/i/b3398a5e90a7
22.02.01,הרבנות הראשית,3,28713000,https://next.obudget.org/i/2225cb0d413c
22.03,בתי הדין הרבניים,2,200052000,https://next.obudget.org/i/b79039fe1396
22.03.01,בתי הדין הרבניים,3,200052000,https://next.obudget.org/i/038fe214cc86
22.99,חשבון מעבר,2,0,https://next.obudget.org/i/0d2865a82eec
22.99.99,חשבון מעבר,3,0,https://next.obudget.org/i/3f7f5ed7e079
89,"מפעלי משרד ראה""מ והאוצר",1,2284642000,https://next.obudget.org/i/0b92e9dc4458
89.01,המדפיס הממשלתי,2,103575000,https://next.obudget.org/i/925ea7725e95
89.01.01,פעילות המדפיס הממשלתי,3,103575000,https://next.obudget.org/i/e160e16e2ddc
89.02,לשכת הפרסום הממשלתית,2,1038746000,https://next.obudget.org/i/0bd55149aead
89.02.01,פעילות לשכת הפרסום,3,1038746000,https://next.obudget.org/i/9904cdd7d8c1
89.69,חשבון מעבר,2,0,https://next.obudget.org/i/20da306cd851
89.69.99,חשבון מעבר,3,0,https://next.obudget.org/i/37b807b0657c
89.89,הכנסות המדפיס,2,103575000,https://next.obudget.org/i/684c81063fbe
89.89.01,הכנסות המדפיס,3,103575000,https://next.obudget.org/i/ac4d19660090
89.90,הכנסות לשכת הפרסום,2,1038746000,https://next.obudget.org/i/86aa3d9e8a0d
89.90.01,הכנסות,3,1038746000,https://next.obudget.org/i/f4e1f3f60ddc
89.99,כיסוי גירעון המדפיס,2,0,https://next.obudget.org/i/b360bf7439c0
89.99.99,כיסוי גירעון המדפיס,3,0,https://next.obudget.org/i/941b4d4054ee
