code,title,office,verdict,reason
04.54,הרבנות הראשית לישראל,משרד ראש הממשלה,keep,Chief Rabbinate directly relates to Jewish heritage.
04.55,נציבות שירות המדינה,משרד ראש הממשלה,drop,"Civil service administration, not Jewish heritage."
04.56,המשרד לשיתוף פעולה,משרד ראש הממשלה,ambiguous,"Generic ministerial role, actual content unknown."
04.57,המשרד לשוויון חברתי,משרד ראש הממשלה,drop,"Social equality, not Jewish heritage."
04.59,לשכת הקשר נתיב,משרד ראש הממשלה,keep,"Nativ supports Jewish communities, identity, heritage."
04.60,מנהלת השירות האזרחי,משרד ראש הממשלה,drop,"Civil service administration, not Jewish heritage."
04.61,החטיבה להתיישבות,משרד ראש הממשלה,drop,"Settlement division, not Jewish heritage."
04.62,המשרד לשירותי הדת,משרד ראש הממשלה,keep,"Directly funds religious services, part of Jewish heritage."
04.63,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,"Negev development, not Jewish heritage."
04.64,הרשות לפיתוח המגזר,משרד ראש הממשלה,drop,"Sector development, not Jewish heritage."
04.70,רזרבות,משרד ראש הממשלה,ambiguous,"Reserve fund, actual content unknown."
04.99,חשבון מעבר,משרד ראש הממשלה,ambiguous,"Clearing container, actual content unknown."
05.01,תחום פעולה כללי,משרד האוצר,ambiguous,"Generic administrative container, may hold relevant spending."
05.02,שירותי מטה ממשלתיים,משרד האוצר,ambiguous,"Generic administrative container, may hold relevant spending."
05.03,שירותי מטה כלל משקיים,משרד האוצר,ambiguous,"Generic administrative container, may hold relevant spending."
05.04,בצוע פקודת מס הכנסה,משרד האוצר,drop,"Income tax execution, not Jewish heritage."
05.05,"אגף המכס והמע""מ",משרד האוצר,drop,"Customs and VAT, not Jewish heritage."
05.06,שירותי עזר למשרדי ממשלה,משרד האוצר,ambiguous,"Generic administrative container, may hold relevant spending."
05.07,נציבות שירות המדינה,משרד האוצר,drop,"Civil service administration, not Jewish heritage."
05.08,רזרבה לפעולות משרד,משרד האוצר,ambiguous,"Reserve fund, actual content unknown."
05.09,רשות החברות הממשלתיות,משרד האוצר,drop,"Government companies authority, not Jewish heritage."
05.10,שירות עיבודים ממוכנים,משרד האוצר,drop,"Automated processing, not Jewish heritage."
05.20,רשות המסים בישראל,משרד האוצר,drop,"Tax authority, not Jewish heritage."
05.51,משרד האוצר ראשי,משרד האוצר,ambiguous,"Generic administrative container, may hold relevant spending."
05.52,רשות המיסים,משרד האוצר,drop,"Tax authority, not Jewish heritage."
05.53,רזרבה למשרד האוצר,משרד האוצר,ambiguous,"Reserve fund, actual content unknown."
05.90,כיסוי גירעון המדפיס,משרד האוצר,drop,"Covering printer's deficit, not Jewish heritage."
05.99,חשבון מעבר,משרד האוצר,ambiguous,"Clearing container, actual content unknown."
18.01,העברות לרשויות המקומיות,רשויות מקומיות,ambiguous,"Generic transfers, actual content unknown."
18.03,מענקים מיועדים לרשויות,רשויות מקומיות,ambiguous,"Generic grants, actual content unknown."
18.04,שירותי דת,רשויות מקומיות,keep,"Directly funds religious services, part of Jewish heritage."
18.11,העברות לרשויות,הרשויות המקומיות,ambiguous,"Generic transfers, actual content unknown."
18.12,קרן לצמצום פערים,הרשויות המקומיות,drop,"Fund for reducing gaps, not Jewish heritage."
18.90,רזרבות,הרשויות המקומיות,ambiguous,"Reserve fund, actual content unknown."
19.01,מינהל ושירותים כלליים,"משרד המדע והחלל, התרבות",ambiguous,"Generic administrative container, may hold relevant spending."
19.02,קידום קשרים בינלאומיים,"משרד המדע, התרבות",drop,"International relations, not Jewish heritage."
19.03,מחקרים ופרוייקטים,"משרד המדע, התרבות",ambiguous,"Broad category, actual content unknown."
19.04,מינהל מדע,"משרד המדע והחלל, התרבות",drop,"Science administration, not Jewish heritage."
19.05,תשתיות מדעיות,"משרד המדע, התרבות",drop,"Scientific infrastructure, not Jewish heritage."
19.06,התוכנית לחיזוק הצפון,"משרד המדע, התרבות",drop,"Strengthening the North, not Jewish heritage."
19.07,רזרבה,"משרד המדע והחלל, התרבות",ambiguous,"Reserve fund, actual content unknown."
19.21,רשות העתיקות,"משרד המדע והחלל, התרבות",keep,"Antiquities Authority preserves historical sites, including Jewish heritage."
19.22,אמרכלות ועובדי משרד,"משרד המדע, התרבות",ambiguous,"Generic administrative container, may hold relevant spending."
19.31,תרבות,"משרד המדע והחלל, התרבות",keep,"Culture includes Jewish heritage, arts, and traditions."
19.32,רשות הספורט,"משרד המדע, התרבות",drop,"Sports authority, not Jewish heritage."
19.37,מינהל הספורט,"משרד המדע והחלל, התרבות",drop,"Sports administration, not Jewish heritage."
19.40,משרד המדע,"מדע, תרבות וספורט",drop,"Science ministry, not Jewish heritage."
19.41,מטה המשרדים,"מדע, תרבות וספורט",ambiguous,"Generic administrative container, may hold relevant spending."
19.42,מינהל התרבות,"מדע, תרבות וספורט",keep,Culture administration includes Jewish heritage activities.
19.43,מינהל הספורט,"מדע, תרבות וספורט",drop,"Sports administration, not Jewish heritage."
19.44,רזרבות פיסקאליות,"מדע, תרבות וספורט",ambiguous,"Reserve fund, actual content unknown."
19.99,חשבוןמעבר,"מדע, תרבות וספורט",ambiguous,"Clearing container, actual content unknown."
22.01,המשרד לשירותי דת,המשרד לשירותי דת,keep,"Ministry's core function is religious services, Jewish heritage."
22.02,הרבנות הראשית,המשרד לשירותי דת,keep,Chief Rabbinate directly relates to Jewish heritage.
22.03,בתי הדין הרבניים,המשרד לשירותי דת,keep,"Rabbinical courts relate to Jewish religious law, heritage."
22.04,הלכה מחקר ולימוד תורני,משרד לעניני דתות,keep,Halakha research and Torah study are Jewish heritage.
22.05,בתי הדין הרבניים,משרד לעניני דתות,keep,"Rabbinical courts relate to Jewish religious law, heritage."
22.06,שפוט דתי,משרד לעניני דתות,keep,Religious adjudication is part of Jewish heritage.
22.07,רזרבה,משרד לעניני דתות,ambiguous,"Reserve fund, actual content unknown."
22.08,מקומות קדושים,משרד לעניני דתות,keep,Holy sites are central to Jewish heritage.
22.18,תרבות תורנית וחרדית,משרד לעניני דתות,keep,Torah and Haredi culture are Jewish heritage.
22.20,הרבנות הראשית,משרד לעניני דתות,keep,Chief Rabbinate directly relates to Jewish heritage.
22.99,חשבון מעבר,המשרד לשירותי דת,ambiguous,"Clearing container, actual content unknown."
89.01,המדפיס הממשלתי,"מפעלי משרד ראה""מ והאוצר",drop,"Government printer, not Jewish heritage."
89.02,לשכת הפרסום הממשלתית,"מפעלי משרד ראה""מ והאוצר",drop,"Government advertising, not Jewish heritage."
89.03,המדפיס הממשלתי,מפעלי משרד ראש הממשלה,drop,"Government printer, not Jewish heritage."
89.04,רזרבות להתייקרויות,מפעלי משרד ראש הממשלה,ambiguous,"Reserve fund, actual content unknown."
89.10,לשכת פרסום ממשלתית,מפעלי משרד ראש הממשלה,drop,"Government advertising, not Jewish heritage."
89.50,רזרבה,מפעלי משרד ראש הממשלה,ambiguous,"Reserve fund, actual content unknown."
89.69,חשבון מעבר,"מפעלי משרד ראה""מ והאוצר",ambiguous,"Clearing container, actual content unknown."
89.72,מכירות,מפעלי משרד ראש הממשלה,drop,"Sales, not Jewish heritage."
89.73,הגדלת מלאי מורשה,מפעלי משרד ראש הממשלה,drop,"Inventory increase, not Jewish heritage."
89.74,הכנסות מריבית,מפעלי משרד ראש הממשלה,drop,"Interest income, not Jewish heritage."
89.75,הכנסות שונות,מפעלי משרד ראש הממשלה,drop,"Miscellaneous income, not Jewish heritage."
89.76,סגירת חייבים,מפעלי משרד ראש הממשלה,drop,"Closing debtors, not Jewish heritage."
89.80,הון חוזר,מפעלי משרד ראש הממשלה,drop,"Working capital, not Jewish heritage."
89.89,הכנסות המדפיס,"מפעלי משרד ראה""מ והאוצר",drop,"Printer's income, not Jewish heritage."
89.90,הכנסות לשכת הפרסום,"מפעלי משרד ראה""מ והאוצר",drop,"Advertising agency income, not Jewish heritage."
89.99,כיסוי גירעון המדפיס,"מפעלי משרד ראה""מ והאוצר",drop,"Covering printer's deficit, not Jewish heritage."
