code,title,office,program,economic_class_primary,counts_in_total,item_url
26.12.01.39,תמיכות בתכנית זיהום אוויר,המשרד להגנת הסביבה,פעולות יחידות המשרד,העברות,yes,https://next.obudget.org/i/7a108be6da70
33.06.02.78,חקלאות מתחדשת תמיכות רב שנתיות,משרד החקלאות,תמיכות ומחקרים בחקלאות,העברות,yes,https://next.obudget.org/i/7b80860ab2dc
34.06.03.30,"מחקר להטמנת פד""ח",משרד האנרגיה והמים,שירותים מרכזיים,קניות,yes,https://next.obudget.org/i/82a3e7c19161
34.11.01.01,סקרים ומענקי מחקר,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/229110399edd
34.11.01.02,מענקים להדגמת טכנולוגיות,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/54ee64764692
34.11.01.03,"השתתפות משרד התמ""ת",משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/d3637f8d224d
34.11.01.04,מחקרים במימון בינלאומי,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/4b03ab005c5c
34.11.01.05,סקרים ומענקי מחקר,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/1430435c82e3
34.11.01.06,הקמת מתקני חלוץ,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/4f5821076088
34.11.01.07,תשלום חוב לסולמת,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,קניות,yes,https://next.obudget.org/i/733915a2ed90
34.11.01.08,השתתפות במשק המים,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/8dd729136dd0
34.11.01.09,השתתפות בשרות המטאורולוגי,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/f55485556bb8
34.11.01.10,רזרבה לסקרים ומענקים,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/438af632ef5c
34.11.01.11,השתתפות המשרד לאיכות הסביבה,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/4d7bf807d92c
34.11.01.12,השתתפות במשרד התחבורה,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/aa62da2f56c4
34.11.01.13,השתתפות במשרד החקלאות,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/87f4b436d394
34.11.01.14,השתתפות משרד התחבורה,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/c830e80049d0
34.11.01.15,רכישת ציוד מחקר חיוני,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,קניות,yes,https://next.obudget.org/i/60be0e21f9ab
34.11.01.16,הכנסות ממכירת מחקרים,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,הכנסות מיועדות,no,https://next.obudget.org/i/a9fee7d64eeb
34.11.01.20,חברות באירגונים בינלאומיים בנושאי מחקר ופיתוח,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,קניות,yes,https://next.obudget.org/i/1c9515971a43
34.11.01.21,"סקרים, מחקר ויעוץ בשימור אנרגיה",משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/371a51d22761
34.11.01.22,מחקרים באנרגיות מתחדשות,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,קניות,yes,https://next.obudget.org/i/6d92ffa7f04a
34.11.01.23,הכנסות למחקרים,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,הכנסות מיועדות,no,https://next.obudget.org/i/e7d8df5ba07f
34.11.01.95,רזרבה להתייקרויות כללית,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,רזרבות,no,https://next.obudget.org/i/b72bb7e1f79b
34.12.01.01,מענקים לחסכון באנרגיה,משרד התשתיות הלאומיות,עידוד חסכון באנרגיה,העברות,yes,https://next.obudget.org/i/17bfd2596627
34.12.01.95,רזרבה להתייקרויות כללית,משרד התשתיות הלאומיות,עידוד חסכון באנרגיה,רזרבות,no,https://next.obudget.org/i/091477950096
34.12.02.01,יחידה לשימור אנרגיה במרכז הבניה,משרד התשתיות הלאומיות,רפרנטורה טכנית,קניות,yes,https://next.obudget.org/i/0cc3b114aad7
34.12.03.01,סקרים ומחקרים בנושא יעילות השימוש באנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/5d34ce594cd7
34.12.03.02,מענקים להדגמת טכנולוגיות להתיעלות באנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,העברות,yes,https://next.obudget.org/i/14e5791756f9
34.12.03.03,רזרבה לפעילות שימור אנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/419f2fcdd626
34.12.03.04,קידום פעילות סוכני שימור אנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,העברות,yes,https://next.obudget.org/i/338220c6847f
34.12.03.05,קידום פרויקטים זעירים להתייעלות אנרגטית,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,העברות,yes,https://next.obudget.org/i/f524392caf5d
34.12.03.06,מידע ומחשוב,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/65ad5fc55cf0
34.12.03.07,פעולות אכיפה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/013f5a10acce
34.12.03.08,פעולות הדרכה והסברה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/bb75bbd2d20b
34.12.03.09,"ייעוץ וחוו""ד מומחים",משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/35f6cbb4aab9
34.12.03.12,השתתפות במשרד החינוך,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,העברות  פנים תקציביות,no,https://next.obudget.org/i/31b48819040a
34.12.03.21,יעול השימוש באנרגיה,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/91b84b436a8a
34.12.03.22,פעולות כלליות בשימור אנרגיה,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/b45cab05d466
34.12.03.23,הוצאות מכרז אשראי,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/db963d7be8f5
34.12.03.24,"תקינה, אכיפה וסקרי אנרגיה",משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/1626a3192e2f
34.12.03.25,התקשרות עם גורמי חוץ,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/e048e9fbd5a4
34.12.03.26,התייעלות במגזר הביתי,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/8a6402f14bd8
34.12.03.27,פעולות לחינוך והסברה,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/570d64f8fd09
34.12.03.30,ייעוץ תכנוני,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,yes,https://next.obudget.org/i/e767aebd3548
34.13.01.22,קמפיין התייעלות אנרגטית,משרד התשתיות הלאומיות,יצירת מידע והפצתו,קניות,yes,https://next.obudget.org/i/ef465822218e
34.13.01.23,כנס אנרגיות מתחדשות,משרד התשתיות הלאומיות,יצירת מידע והפצתו,קניות,yes,https://next.obudget.org/i/05be5f5beaa5
34.30.03.01,פעולות התייעלות אנרגטית,משרד האנרגיה,יחידות מקצועיות,קניות,yes,https://next.obudget.org/i/3679a64d9444
34.30.03.02,"שימור אנרגיה - תקינה, אכיפה וסקרים",משרד האנרגיה,יחידות מקצועיות,קניות,yes,https://next.obudget.org/i/81322784e047
34.30.03.03,התייעלות אנרגטית – הרשאה,משרד האנרגיה,יחידות מקצועיות,העברות,yes,https://next.obudget.org/i/d46c1c1da51f
34.30.03.04,שימור אנרגיה - חינוך והסברה,משרד האנרגיה,יחידות מקצועיות,קניות,yes,https://next.obudget.org/i/e98a1eab5739
34.30.03.24,עמדות טעינה לרכבים חשמליים,משרד האנרגיה,יחידות מקצועיות,קניות,yes,https://next.obudget.org/i/c60bce61ded1
34.30.03.27,ערבויות להתעיילות אנרגטית,משרד האנרגיה,יחידות מקצועיות,קניות,yes,https://next.obudget.org/i/dca0202ffa01
34.30.03.31,ערבויות להתייעלות אנרגטית,משרד האנרגיה,יחידות מקצועיות,קניות,yes,https://next.obudget.org/i/52e9d6cb2ad3
34.30.03.35,השתתפויות התייעלות אנרגטית ואנרגיה נקיה - פרויקטים במשרדי ממשלה,משרד האנרגיה,יחידות מקצועיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/e6c50e77b9f9
34.30.03.37,העברות התייעלות אנרגטית ואנרגיה נקיה - פרויקטים במשרדי ממשלה,משרד האנרגיה,יחידות מקצועיות,קניות,yes,https://next.obudget.org/i/c6b5d5d49a75
34.30.03.44,תמיכה ברשויות מקומיות – אנרגיה מקיימת,משרד האנרגיה,יחידות מקצועיות,העברות,yes,https://next.obudget.org/i/4ca0b59519b4
34.30.03.46,תמיכה ברשויות מקומיות – אנרגיה מקיימת (החלטת ממשלה 550),משרד האנרגיה,יחידות מקצועיות,העברות,yes,https://next.obudget.org/i/9f5e4158db87
34.30.03.51,פרויקטי פסולת - מדען ראשי,משרד האנרגיה,יחידות מקצועיות,העברות,yes,https://next.obudget.org/i/51be6c03d15f
34.30.03.52,פרויקטים בתחום המימן,משרד האנרגיה,יחידות מקצועיות,העברות,yes,https://next.obudget.org/i/df535c74f408
34.30.03.54,תמיכה באנרגיה מתחדשת (הקרן לאזרחי ישראל),משרד האנרגיה,יחידות מקצועיות,העברות,yes,https://next.obudget.org/i/10297b8e5e5f
38.02.02.11,עידוד השקעות בתחליפי נפט לתחבורה,תמיכות בענפי המשק,"מענקים לשלבי מו""פ",העברות,yes,https://next.obudget.org/i/0d849be98179
38.02.02.13,חממה לאנרגיות מתחדשות באח 3954,תמיכות בענפי המשק,"מענקים לשלבי מו""פ",העברות,yes,https://next.obudget.org/i/9807b693561c
38.02.02.17,תחליפי נפט לתחבורה - קרן לאומית,תמיכות בענפי המשק,"מענקים לשלבי מו""פ",העברות,yes,https://next.obudget.org/i/4836d86ad34d
38.02.02.23,השתתפות במשרד התשתיות עבור אנרגיה מתחדשת - ה.מ. 3954,תמיכות בענפי המשק,"מענקים לשלבי מו""פ",העברות  פנים תקציביות,no,https://next.obudget.org/i/419ceebf72f0
38.10.02.09,מכון לאנרגיה מתחדשת,תמיכות בענפי המשק,תכנית הדרום,העברות,yes,https://next.obudget.org/i/96d9f0dc2ccc
38.19.03.01,מסלול להפחתת פליטות גזי חממה,תמיכות בענפי המשק,מסלול להפחתת פליטות,העברות,yes,https://next.obudget.org/i/e5097a5085d9
38.19.03.02,מסלול חיבור מפעלים לגז טבעי,תמיכות בענפי המשק,מסלול להפחתת פליטות,העברות,yes,https://next.obudget.org/i/3b54b483be48
38.30.02.04,מרכז לאנרגיה מתחדשת,כלכלה ותעשייה,מענקי מחקר ופיתוח,העברות,yes,https://next.obudget.org/i/b2351eb3d641
38.30.02.08,עידוד השקעות הון סיכון בתחליפי נפט לתחבורה,תמיכות בענפי המשק,מענקי מחק ופיתוח,העברות,yes,https://next.obudget.org/i/2745206bb320
38.30.02.09,תחליפי נפט לתחבורה- קרן לאומית,תמיכות בענפי המשק,מענקי מחק ופיתוח,העברות,yes,https://next.obudget.org/i/6d546bb90bb3
38.30.02.10,תחליפי נפט לתחבורה- קרן בין לאומית,תמיכות בענפי המשק,"מענקי מו""פ לשלבים",העברות,yes,https://next.obudget.org/i/b7d05a9dac47
38.40.01.22,מסלול להתייעלות אנרגטית,כלכלה ותעשייה,קידום השקעות ועידוד,העברות,yes,https://next.obudget.org/i/a8b721dfa074
38.40.01.23,מסלול לעידוד חיבור מפעלים לגז טבעי,כלכלה ותעשייה,קידום השקעות ועידוד,העברות,yes,https://next.obudget.org/i/d705cc37e1de
38.40.01.30,מס פחמן מענקים,כלכלה ותעשייה,קידום השקעות ועידוד,העברות,yes,https://next.obudget.org/i/1e76e8773fe9
38.40.02.30,מסלול להפחתת פליטות גזי חממה,תמיכות בענפי המשק,מסלולי תמיכה מינהליים,העברות,yes,https://next.obudget.org/i/8e0496e30db8
51.07.01.27,התייעלות אנרגטית במשרדי ממשלה,דיור ממשלתי,בינוי קריות ומשרדי,השקעה,yes,https://next.obudget.org/i/4a16481db599
52.40.01.13,אלה ומעשיהו - קוגנרציה (התייעלות אנרגטית),המשטרה ובתי הסוהר,פיתוח,השקעה,yes,https://next.obudget.org/i/675eef40be2c
70.03.01.10,התייעלות אנרגטית בשכונות שיקום,שיכון,מגזר כללי,השקעה,yes,https://next.obudget.org/i/4d3e9265c2b3
83.04.01.23,הוצאות מכרז אשלים,הוצאות פיתוח אחרות,השקעות שונות,השקעה,yes,https://next.obudget.org/i/684ff875b019
